Gene ID,Fold change (Ketamine vs. Vehicle),P-value (Ketamine vs. Vehicle),,Fold change (L655 vs. Vehicle),P-value (L655 vs. Vehicle),,,,,
Acsl3,1.26,0.02,,1.54,0.00,,,,,
Acsl4,1.19,0.14,,1.68,0.00,,,,,
Acsl5,1.12,0.12,,1.15,0.05,,,,,
Acsl6,1.45,0.00,,1.49,0.00,,,,,
Acss2,1.14,0.07,,1.13,0.07,,,,,
Acta1,-1.09,0.31,,-1.15,0.12,,,,,
Actb,1.11,0.06,,1.02,0.64,,,,,
Actg1,1.03,0.38,,1.06,0.10,,,,,
Actl6b,-1.02,0.67,,-1.04,0.40,,,,,
Actn4,1.16,0.04,,1.15,0.05,,,,,
Actr10,1.12,0.08,,1.20,0.01,,,,,
Actr1a,1.09,0.06,,1.07,0.14,,,,,
Actr1b,1.12,0.07,,1.07,0.21,,,,,
Actr2,1.79,0.00,,2.09,0.00,,,,,
Actr3,1.11,0.17,,1.28,0.00,,,,,
Actr3b,1.12,0.12,,1.09,0.20,,,,,
Actr8,1.12,0.05,,1.19,0.01,,,,,
Acvrl1,1.23,0.07,,1.13,0.23,,,,,
Acy1,-1.02,0.77,,-1.12,0.08,,,,,
Acy3,1.17,0.21,,-1.07,0.94,,,,,
Adam11,1.94,0.00,,1.79,0.00,,,,,
Adam15,1.21,0.04,,1.12,0.16,,,,,
Adam1a,1.11,0.20,,1.20,0.03,,,,,
Adap1,1.11,0.07,,1.02,0.73,,,,,
Adar,1.68,0.00,,2.00,0.00,,,,,
Adarb1,1.46,0.00,,1.46,0.00,,,,,
Adat3,1.12,0.29,,1.09,0.40,,,,,
Adck2,1.44,0.00,,1.17,0.07,,,,,
Adcy3,1.28,0.02,,1.30,0.01,,,,,
Adcy6,1.26,0.02,,1.41,0.00,,,,,
Adcyap1,1.06,0.54,,1.04,0.73,,,,,
Adcyap1r1,1.23,0.02,,1.43,0.00,,,,,
Add1,1.21,0.00,,1.19,0.01,,,,,
Add3,1.24,0.01,,1.36,0.00,,,,,
Adgrb2,1.28,0.01,,1.22,0.03,,,,,
Adgrg1,1.06,0.42,,1.14,0.11,,,,,
Adgrl1,1.61,0.00,,1.77,0.00,,,,,
Adh5,1.04,0.46,,1.03,0.48,,,,,
Adhfe1,1.07,0.40,,1.17,0.09,,,,,
Adi1,-1.06,0.43,,1.00,1.00,,,,,
Adipor1,1.09,0.13,,1.04,0.48,,,,,
Adnp,1.21,0.02,,1.52,0.00,,,,,
Ado,1.24,0.05,,1.45,0.00,,,,,
Adora1,1.68,0.00,,1.62,0.01,,,,,
Adpgk,1.17,0.05,,1.13,0.10,,,,,
Adprh,-1.10,0.02,,-1.11,0.02,,,,,
Adprhl2,-1.07,0.22,,-1.12,0.06,,,,,
Adra1d,1.16,0.20,,1.02,0.87,,,,,
Adra2a,-1.17,0.18,,1.22,0.14,,,,,
Adra2c,-1.07,0.42,,1.02,0.75,,,,,
Adrb1,1.35,0.08,,1.37,0.05,,,,,
Adrm1,-1.03,0.32,,-1.11,0.01,,,,,
Adsl,1.08,0.19,,1.04,0.51,,,,,
Adss,1.13,0.23,,1.37,0.01,,,,,
Aebp1,1.96,0.20,,1.49,0.36,,,,,
Aen,1.05,0.40,,1.09,0.19,,,,,
Aes,-1.11,0.04,,-1.30,0.00,,,,,
Aff4,1.36,0.01,,1.87,0.00,,,,,
Afg3l2,1.13,0.08,,1.16,0.03,,,,,
Aftph,1.24,0.04,,1.55,0.00,,,,,
Aga,1.24,0.03,,1.26,0.02,,,,,
Agap2,1.37,0.00,,1.26,0.01,,,,,
Agap3,-1.00,0.93,,-1.17,0.02,,,,,
Agfg2,1.08,0.15,,1.05,0.37,,,,,
Ago1,1.40,0.00,,1.61,0.00,,,,,
Agpat1,1.03,0.53,,-1.05,0.31,,,,,
Agpat3,1.22,0.01,,1.25,0.00,,,,,
Agrn,1.45,0.00,,1.57,0.00,,,,,
Agt,-1.02,0.97,,-1.15,0.20,,,,,
Agtpbp1,1.38,0.00,,1.57,0.00,,,,,
Agtrap,1.42,0.00,,1.30,0.02,,,,,
Ahcy,-1.01,0.84,,1.01,0.76,,,,,
Ahcyl1,1.28,0.01,,1.49,0.00,,,,,
Ahdc1,1.21,0.04,,1.31,0.01,,,,,
Ahsa1,1.00,0.91,,1.00,0.91,,,,,
Ahsa2,-1.16,0.07,,-1.07,0.44,,,,,
Aida,1.12,0.23,,1.24,0.03,,,,,
Aif1,-1.14,0.05,,-1.37,0.00,,,,,
Aifm3,1.17,0.16,,-1.03,0.97,,,,,
Aimp1,-1.02,0.80,,-1.03,0.68,,,,,
Aimp2,-1.11,0.08,,-1.16,0.02,,,,,
Aip,-1.14,0.04,,-1.27,0.00,,,,,
Ak1,-1.06,0.13,,-1.07,0.08,,,,,
Ak3,1.09,0.15,,1.10,0.10,,,,,
Akap1,1.35,0.00,,1.51,0.00,,,,,
Akap11,1.52,0.00,,2.36,0.00,,,,,
Akap17a,1.03,0.54,,-1.02,0.61,,,,,
Akap2,1.45,0.00,,1.74,0.00,,,,,
Akap5,1.95,0.00,,2.68,0.00,,,,,
Akap8,1.34,0.00,,1.46,0.00,,,,,
Akap8l,1.42,0.00,,1.23,0.03,,,,,
Akirin1,1.05,0.47,,1.22,0.01,,,,,
Akirin2,1.04,0.61,,1.24,0.02,,,,,
Akr1a1,-1.04,0.24,,-1.15,0.00,,,,,
Akr1b1,-1.05,0.35,,-1.10,0.08,,,,,
Akr7a2,-1.15,0.01,,-1.22,0.00,,,,,
Akt1,1.23,0.01,,1.16,0.05,,,,,
Akt1s1,-1.00,0.94,,-1.19,0.00,,,,,
Aktip,1.05,0.35,,1.12,0.07,,,,,
Alad,-1.07,0.16,,-1.22,0.00,,,,,
Alas1,1.34,0.00,,1.20,0.01,,,,,
Aldh16a1,1.07,0.40,,-1.06,0.63,,,,,
Aldh1b1,1.08,0.22,,-1.03,0.69,,,,,
Aldh2,1.08,0.41,,-1.10,0.48,,,,,
Aldh3a2,1.12,0.08,,1.19,0.02,,,,,
Aldh3b1,1.09,0.30,,-1.10,0.23,,,,,
Aldh4a1,1.05,0.50,,1.06,0.44,,,,,
Aldh5a1,1.29,0.01,,1.52,0.00,,,,,
Aldh6a1,1.32,0.02,,1.58,0.00,,,,,
Aldh7a1,1.06,0.46,,1.08,0.30,,,,,
Aldh9a1,1.15,0.11,,-1.00,1.00,,,,,
Aldoa,-1.12,0.01,,-1.12,0.01,,,,,
Aldoart2,1.14,0.74,,-1.82,0.02,,,,,
Aldoc,1.03,0.60,,-1.04,0.52,,,,,
Alg1,1.07,0.31,,1.02,0.71,,,,,
Alg11,1.51,0.00,,1.86,0.00,,,,,
Alg2,1.14,0.02,,1.19,0.00,,,,,
Alg3,1.10,0.15,,-1.04,0.66,,,,,
Alkbh2,-1.14,0.09,,-1.26,0.01,,,,,
Alkbh4,1.15,0.07,,1.03,0.69,,,,,
Alkbh7,-1.34,0.00,,-1.48,0.00,,,,,
Alyref,-1.03,0.59,,-1.09,0.13,,,,,
Amacr,-1.02,0.81,,-1.02,0.83,,,,,
Amd1,1.17,0.03,,1.47,0.00,,,,,
Amdhd2,1.04,0.63,,-1.21,0.02,,,,,
Amigo1,1.96,0.00,,2.15,0.00,,,,,
Amigo2,1.23,0.09,,1.13,0.25,,,,,
Amigo3,1.11,0.37,,1.30,0.04,,,,,
Ammecr1l,1.29,0.01,,1.53,0.00,,,,,
Amotl2,1.18,0.11,,1.32,0.02,,,,,
Ampd2,1.10,0.07,,1.10,0.09,,,,,
Amt,1.14,0.05,,1.15,0.04,,,,,
Amz2,1.16,0.02,,1.27,0.00,,,,,
Anapc11,-1.13,0.13,,-1.38,0.00,,,,,
Anapc13,-1.23,0.01,,-1.41,0.00,,,,,
Anapc15,-1.04,0.41,,-1.24,0.00,,,,,
Anapc2,1.05,0.27,,1.04,0.38,,,,,
Anapc5,1.11,0.07,,1.09,0.11,,,,,
Anapc7,1.12,0.07,,1.14,0.03,,,,,
Angel2,1.41,0.00,,1.50,0.00,,,,,
Angptl4,-1.00,0.93,,1.02,0.74,,,,,
Ankmy2,1.11,0.07,,1.16,0.02,,,,,
Ankra2,1.03,0.68,,1.10,0.21,,,,,
Ankrd13a,1.20,0.02,,1.22,0.01,,,,,
Ankrd13c,1.08,0.45,,1.33,0.02,,,,,
Ankrd13d,1.09,0.08,,1.05,0.27,,,,,
Ankrd29,1.11,0.30,,1.84,0.00,,,,,
Ankrd34a,1.03,0.59,,1.09,0.10,,,,,
Ankrd40,1.29,0.00,,1.21,0.01,,,,,
Ankrd46,1.17,0.02,,1.36,0.00,,,,,
Ankrd49,1.15,0.07,,1.28,0.00,,,,,
Ankrd52,2.68,0.00,,3.02,0.00,,,,,
Ankrd54,1.01,0.87,,-1.07,0.39,,,,,
Ankrd9,1.06,0.42,,-1.05,0.48,,,,,
Anks3,1.17,0.04,,1.13,0.08,,,,,
Ankzf1,1.21,0.06,,1.16,0.12,,,,,
Anp32a,1.10,0.18,,1.17,0.05,,,,,
Anp32b,-1.02,0.81,,1.01,0.92,,,,,
Anp32e,1.34,0.01,,1.51,0.00,,,,,
Anxa11,1.12,0.08,,1.02,0.72,,,,,
Anxa5,1.13,0.37,,1.02,0.94,,,,,
Anxa6,1.09,0.47,,1.12,0.32,,,,,
Anxa7,1.11,0.05,,1.12,0.03,,,,,
Aoc2-ps1,2.03,0.00,,2.58,0.00,,,,,
Ap1ar,1.04,0.47,,1.16,0.03,,,,,
Ap1b1,1.17,0.01,,1.18,0.01,,,,,
Ap1m1,-1.03,0.49,,-1.08,0.13,,,,,
Ap1s1,-1.07,0.09,,-1.12,0.02,,,,,
Ap2a1,1.22,0.01,,1.21,0.02,,,,,
Ap2a2,1.41,0.01,,1.62,0.00,,,,,
Ap2b1,1.15,0.05,,1.32,0.00,,,,,
Ap2m1,-1.01,0.85,,-1.04,0.30,,,,,
Ap2s1,-1.14,0.01,,-1.23,0.00,,,,,
Ap3d1,1.20,0.01,,1.26,0.00,,,,,
Ap3m1,1.11,0.21,,1.38,0.00,,,,,
Ap3m2,1.43,0.00,,1.52,0.00,,,,,
Ap4b1,1.11,0.17,,1.21,0.02,,,,,
Ap4m1,1.64,0.00,,1.64,0.00,,,,,
Ap5b1,1.04,0.64,,1.12,0.17,,,,,
Ap5s1,1.27,0.01,,1.29,0.01,,,,,
Ap5z1,1.23,0.01,,1.17,0.05,,,,,
Apba2,1.46,0.00,,1.41,0.01,,,,,
Apba3,1.13,0.19,,-1.02,0.96,,,,,
Apbb1,1.06,0.23,,-1.01,0.77,,,,,
Apbb3,1.19,0.00,,1.08,0.15,,,,,
Apc,2.13,0.00,,2.45,0.00,,,,,
Apc2,1.42,0.00,,1.58,0.00,,,,,
Apeh,1.20,0.00,,1.05,0.32,,,,,
Apex1,1.01,0.75,,-1.02,0.59,,,,,
Aph1a,1.13,0.02,,-1.01,0.86,,,,,
Api5,1.13,0.26,,1.70,0.00,,,,,
Apln,1.31,0.01,,1.31,0.01,,,,,
Aplp1,1.04,0.48,,-1.07,0.24,,,,,
Aplp2,1.17,0.01,,1.26,0.00,,,,,
Apmap,1.09,0.15,,1.10,0.12,,,,,
Apoc1,-1.32,0.09,,-1.43,0.03,,,,,
Apod,1.19,0.05,,-1.20,0.04,,,,,
Apoe,-1.13,0.08,,-1.27,0.00,,,,,
Apold1,3.06,0.00,,1.68,0.00,,,,,
App,1.22,0.02,,1.27,0.01,,,,,
Appbp2,1.33,0.01,,1.62,0.00,,,,,
Aprt,-1.18,0.01,,-1.39,0.00,,,,,
Aqp4,1.48,0.01,,1.91,0.00,,,,,
Araf,-1.03,0.61,,-1.05,0.39,,,,,
Arc,1.08,0.33,,1.39,0.00,,,,,
Arcn1,1.17,0.03,,1.32,0.00,,,,,
Arel1,1.31,0.00,,1.40,0.00,,,,,
Arf1,1.09,0.05,,1.07,0.10,,,,,
Arf2,-1.00,0.96,,1.11,0.12,,,,,
Arf3,1.10,0.05,,1.20,0.00,,,,,
Arf4,1.10,0.28,,1.38,0.00,,,,,
Arf5,-1.19,0.02,,-1.27,0.00,,,,,
Arf6,1.10,0.07,,1.19,0.00,,,,,
Arfgap1,1.22,0.00,,1.12,0.04,,,,,
Arfgap2,1.12,0.01,,1.03,0.43,,,,,
Arfip2,1.05,0.25,,-1.02,0.70,,,,,
Arfrp1,1.23,0.01,,1.17,0.04,,,,,
Arglu1,1.40,0.02,,1.36,0.03,,,,,
Arhgap1,1.15,0.04,,1.21,0.01,,,,,
Arhgap21,1.55,0.00,,1.71,0.00,,,,,
Arhgap35,1.30,0.01,,1.55,0.00,,,,,
Arhgap5,2.21,0.00,,4.44,0.00,,,,,
Arhgdia,-1.03,0.49,,-1.12,0.03,,,,,
Arhgef1,1.41,0.00,,1.19,0.06,,,,,
Arhgef2,1.28,0.00,,1.30,0.00,,,,,
Arhgef25,1.18,0.05,,-1.05,0.53,,,,,
Arhgef3,1.25,0.03,,1.27,0.02,,,,,
Arhgef39,1.04,0.75,,-1.19,0.09,,,,,
Arhgef40,1.56,0.00,,1.36,0.02,,,,,
Arhgef9,1.63,0.00,,1.92,0.00,,,,,
Arid1a,1.32,0.01,,1.55,0.00,,,,,
Arid5a,1.12,0.25,,1.08,0.38,,,,,
Arl1,1.22,0.01,,1.42,0.00,,,,,
Arl11,-1.03,0.76,,-1.08,0.43,,,,,
Arl14ep,1.30,0.02,,1.49,0.00,,,,,
Arl2,-1.14,0.02,,-1.32,0.00,,,,,
Arl2bp,1.02,0.63,,1.10,0.05,,,,,
Arl3,-1.11,0.04,,-1.20,0.00,,,,,
Arl4a,1.10,0.59,,1.29,0.12,,,,,
Arl4c,-1.03,0.63,,1.13,0.05,,,,,
Arl4d,-1.10,0.10,,1.07,0.24,,,,,
Arl6ip1,1.01,0.82,,1.19,0.02,,,,,
Arl6ip4,-1.10,0.06,,-1.22,0.00,,,,,
Arl6ip5,1.10,0.12,,1.04,0.47,,,,,
Arl8a,1.00,0.92,,-1.05,0.21,,,,,
Arl8b,1.15,0.16,,1.58,0.00,,,,,
Armc10,1.03,0.63,,1.06,0.26,,,,,
Armc5,1.23,0.01,,1.03,0.56,,,,,
Armcx2,1.19,0.03,,1.46,0.00,,,,,
Armcx3,1.32,0.01,,1.58,0.00,,,,,
Armcx6,-1.03,0.59,,1.03,0.61,,,,,
Armt1,1.04,0.60,,1.14,0.09,,,,,
Arnt2,1.26,0.02,,1.47,0.00,,,,,
Arpc1a,1.01,0.83,,-1.04,0.41,,,,,
Arpc2,1.13,0.03,,1.11,0.04,,,,,
Arpc3,-1.04,0.47,,-1.06,0.27,,,,,
Arpc4,-1.05,0.28,,-1.08,0.08,,,,,
Arpc5,1.12,0.10,,1.23,0.01,,,,,
Arpc5l,-1.09,0.17,,1.00,0.96,,,,,
Arpp21,-1.02,0.88,,1.38,0.02,,,,,
Arrb2,1.03,0.51,,-1.08,0.12,,,,,
Arrdc1,1.08,0.15,,-1.05,0.38,,,,,
Arrdc2,1.62,0.00,,1.02,0.71,,,,,
Arsa,1.32,0.00,,1.21,0.03,,,,,
Arse,1.26,0.05,,1.08,0.52,,,,,
Arx,1.01,0.94,,1.19,0.03,,,,,
Asah1,1.17,0.14,,1.33,0.01,,,,,
Asb1,2.26,0.00,,2.32,0.00,,,,,
Asb6,-1.01,0.84,,-1.08,0.13,,,,,
Asb8,1.08,0.11,,1.06,0.22,,,,,
Ascl1,1.18,0.08,,1.38,0.00,,,,,
Ash2l,1.19,0.01,,1.26,0.00,,,,,
Asic1,1.12,0.27,,1.21,0.06,,,,,
Asmtl,-1.11,0.08,,-1.24,0.00,,,,,
Asna1,-1.10,0.03,,-1.09,0.04,,,,,
Asns,1.26,0.01,,1.41,0.00,,,,,
Asnsd1,1.04,0.61,,1.32,0.00,,,,,
Asphd2,1.14,0.08,,-1.04,0.54,,,,,
Asrgl1,1.10,0.15,,1.09,0.17,,,,,
Atad3a,1.06,0.33,,1.09,0.15,,,,,
Atat1,1.20,0.13,,1.13,0.24,,,,,
Atcay,1.30,0.00,,1.29,0.00,,,,,
Atf4,-1.06,0.11,,-1.03,0.39,,,,,
Atf5,1.06,0.34,,-1.22,0.00,,,,,
Atf6b,1.15,0.02,,1.05,0.40,,,,,
Atg101,-1.18,0.00,,-1.16,0.01,,,,,
Atg12,1.10,0.28,,1.41,0.00,,,,,
Atg13,1.41,0.00,,1.50,0.00,,,,,
Atg16l1,1.15,0.04,,1.13,0.06,,,,,
Atg2a,1.44,0.00,,1.44,0.00,,,,,
Atg4b,1.05,0.34,,1.01,0.74,,,,,
Atg4d,-1.08,0.11,,-1.12,0.02,,,,,
Atg9a,1.21,0.01,,1.16,0.04,,,,,
Atic,1.16,0.02,,1.17,0.02,,,,,
Atmin,1.21,0.03,,1.33,0.00,,,,,
Atn1,1.19,0.03,,1.31,0.00,,,,,
Atox1,-1.15,0.01,,-1.38,0.00,,,,,
Atp13a1,1.23,0.01,,1.18,0.03,,,,,
Atp13a2,1.15,0.07,,1.12,0.13,,,,,
Atp1a1,1.16,0.02,,1.26,0.00,,,,,
Atp1a2,1.46,0.00,,1.54,0.00,,,,,
Atp1a3,1.09,0.21,,1.14,0.06,,,,,
Atp1b1,1.01,0.88,,1.14,0.03,,,,,
Atp1b2,1.14,0.08,,1.19,0.02,,,,,
Atp1b3,1.10,0.24,,1.08,0.34,,,,,
Atp2a2,1.29,0.01,,1.51,0.00,,,,,
Atp2b1,1.74,0.00,,2.17,0.00,,,,,
Atp2b3,1.78,0.00,,1.99,0.00,,,,,
Atp2c1,1.30,0.02,,1.69,0.00,,,,,
Atp5a1,1.01,0.84,,1.02,0.60,,,,,
Atp5b,1.01,0.81,,1.03,0.40,,,,,
Atp5c1,1.02,0.57,,1.02,0.55,,,,,
Atp5d,-1.15,0.00,,-1.27,0.00,,,,,
Atp5e,-1.26,0.00,,-1.56,0.00,,,,,
Atp5g1,-1.20,0.00,,-1.33,0.00,,,,,
Atp5g2,-1.15,0.01,,-1.37,0.00,,,,,
Atp5g3,-1.07,0.30,,1.08,0.24,,,,,
Atp5h,-1.24,0.00,,-1.23,0.00,,,,,
Atp5i,-1.21,0.00,,-1.35,0.00,,,,,
Atp5j,-1.03,0.52,,-1.10,0.07,,,,,
Atp5j2,-1.03,0.45,,-1.15,0.00,,,,,
Atp5l,-1.12,0.07,,-1.07,0.23,,,,,
Atp5o,-1.18,0.00,,-1.24,0.00,,,,,
Atp5sl,1.02,0.66,,1.00,0.95,,,,,
Atp6ap1,1.04,0.39,,1.12,0.02,,,,,
Atp6ap2,1.13,0.14,,1.38,0.00,,,,,
Atp6v0a1,1.19,0.02,,1.22,0.01,,,,,
Atp6v0b,-1.23,0.00,,-1.31,0.00,,,,,
Atp6v0c,-1.07,0.11,,-1.09,0.03,,,,,
Atp6v0d1,1.04,0.44,,-1.01,0.91,,,,,
Atp6v0e2,1.17,0.04,,1.03,0.60,,,,,
Atp6v1a,1.22,0.02,,1.53,0.00,,,,,
Atp6v1b2,1.11,0.12,,1.23,0.00,,,,,
Atp6v1c1,1.08,0.20,,1.22,0.01,,,,,
Atp6v1d,1.07,0.20,,1.12,0.05,,,,,
Atp6v1e1,-1.01,0.85,,-1.06,0.28,,,,,
Atp6v1f,-1.15,0.02,,-1.30,0.00,,,,,
Atp6v1g1,-1.10,0.05,,-1.17,0.00,,,,,
Atp6v1g2,-1.00,0.91,,-1.04,0.24,,,,,
Atp8b2,1.39,0.01,,1.50,0.00,,,,,
Atpaf1,1.34,0.01,,1.66,0.00,,,,,
Atpaf2,1.02,0.76,,-1.06,0.43,,,,,
Atpif1,-1.21,0.00,,-1.28,0.00,,,,,
Atraid,-1.04,0.43,,-1.09,0.08,,,,,
Atrn,1.37,0.01,,1.69,0.00,,,,,
Atxn10,-1.02,0.73,,1.05,0.40,,,,,
Atxn2l,1.52,0.00,,1.50,0.00,,,,,
Atxn7l3b,1.17,0.05,,1.46,0.00,,,,,
Aup1,1.05,0.28,,-1.09,0.04,,,,,
Aurkaip1,-1.21,0.01,,-1.50,0.00,,,,,
Aurkc,1.01,0.84,,1.08,0.29,,,,,
Avpi1,-1.06,0.26,,-1.20,0.00,,,,,
Azi2,1.14,0.08,,1.16,0.05,,,,,
Azin1,1.23,0.04,,1.66,0.00,,,,,
B2m,1.03,0.68,,-1.05,0.56,,,,,
B3galnt1,1.02,0.76,,1.26,0.03,,,,,
B3galt1,1.68,0.00,,2.44,0.00,,,,,
B3galt2,1.18,0.12,,1.81,0.00,,,,,
B3galt4,-1.00,0.92,,-1.22,0.02,,,,,
B3galt5,1.28,0.03,,1.40,0.00,,,,,
B3galt6,1.67,0.00,,1.82,0.00,,,,,
B3gat1,1.61,0.00,,1.53,0.00,,,,,
B3gat3,-1.04,0.39,,-1.14,0.02,,,,,
B3gnt7,1.04,0.66,,1.02,0.87,,,,,
B4galnt1,1.03,0.65,,1.01,0.83,,,,,
B4galnt4,1.16,0.03,,1.14,0.05,,,,,
B4galt2,1.01,0.79,,-1.06,0.27,,,,,
B4galt3,-1.01,0.92,,1.00,0.95,,,,,
B4galt5,1.03,0.56,,1.11,0.07,,,,,
B4galt6,1.08,0.36,,1.32,0.01,,,,,
B4galt7,1.02,0.79,,-1.06,0.40,,,,,
B4gat1,1.02,0.70,,1.02,0.68,,,,,
B9d2,-1.14,0.04,,-1.38,0.00,,,,,
Baalc,1.21,0.01,,1.31,0.00,,,,,
Babam1,-1.05,0.30,,-1.13,0.01,,,,,
Bace1,1.66,0.00,,1.77,0.00,,,,,
Bad,-1.14,0.04,,-1.25,0.00,,,,,
Bag1,-1.01,0.84,,-1.11,0.04,,,,,
Bag2,1.00,0.91,,1.14,0.07,,,,,
Bag4,1.65,0.00,,1.94,0.00,,,,,
Bag6,1.14,0.02,,1.12,0.05,,,,,
Bai1,1.23,0.01,,1.19,0.03,,,,,
Baiap2,1.29,0.01,,1.30,0.01,,,,,
Bak1,1.09,0.16,,-1.03,0.58,,,,,
Banf1,-1.14,0.01,,-1.26,0.00,,,,,
Bap1,1.20,0.01,,1.22,0.00,,,,,
Basp1,1.01,0.81,,-1.07,0.44,,,,,
Bax,-1.06,0.24,,-1.08,0.10,,,,,
Baz1b,1.36,0.00,,1.58,0.00,,,,,
Baz2a,2.05,0.00,,2.17,0.00,,,,,
Bbs1,1.21,0.03,,1.26,0.01,,,,,
Bbs10,1.11,0.13,,1.36,0.00,,,,,
Bc1,-1.36,0.23,,-1.21,0.50,,,,,
Bcam,1.07,0.69,,-1.09,0.53,,,,,
Bcan,1.22,0.01,,1.08,0.20,,,,,
Bcap31,1.11,0.14,,1.11,0.13,,,,,
Bcar1,1.20,0.05,,1.04,0.58,,,,,
Bcas1,1.32,0.02,,-1.04,0.84,,,,,
Bcas2,-1.13,0.04,,-1.02,0.63,,,,,
Bcat1,1.06,0.25,,1.17,0.01,,,,,
Bccip,-1.01,0.79,,1.02,0.70,,,,,
Bcdin3d,-1.02,0.72,,-1.00,0.92,,,,,
Bckdha,-1.01,0.83,,-1.10,0.14,,,,,
Bckdk,1.05,0.38,,-1.04,0.47,,,,,
Bcl10,1.13,0.12,,1.14,0.10,,,,,
Bcl2l1,1.03,0.53,,1.02,0.66,,,,,
Bcl2l2,1.25,0.00,,1.23,0.00,,,,,
Bcl6,1.21,0.06,,1.46,0.00,,,,,
Bcl7b,-1.04,0.38,,-1.09,0.09,,,,,
Bcl7c,-1.12,0.22,,-1.44,0.00,,,,,
Bcl9l,1.62,0.00,,1.71,0.00,,,,,
Bclaf1,1.63,0.00,,1.83,0.00,,,,,
Bcs1l,1.09,0.17,,-1.01,0.89,,,,,
Becn1,1.06,0.31,,1.05,0.36,,,,,
Begain,1.16,0.05,,1.04,0.54,,,,,
Bend6,1.28,0.01,,1.46,0.00,,,,,
Bet1l,-1.10,0.10,,-1.04,0.52,,,,,
