Gene ID,Fold change (Ketamine vs. Vehicle),P-value (Ketamine vs. Vehicle),Fold change (L655 vs. Vehicle),P-value (L655 vs. Vehicle)
Akt1s1,-1.0,0.94,-1.19,0.0
Aktip,1.05,0.35,1.12,0.07
Alad,-1.07,0.16,-1.22,0.0
Alas1,1.34,0.0,1.2,0.01
Aldh16a1,1.07,0.4,-1.06,0.63
Aldh1b1,1.08,0.22,-1.03,0.69
Aldh2,1.08,0.41,-1.1,0.48
Aldh3a2,1.12,0.08,1.19,0.02
Aldh3b1,1.09,0.3,-1.1,0.23
Aldh4a1,1.05,0.5,1.06,0.44
Aldh5a1,1.29,0.01,1.52,0.0
Aldh6a1,1.32,0.02,1.58,0.0
Aldh7a1,1.06,0.46,1.08,0.3
Aldh9a1,1.15,0.11,-1.0,1.0
Aldoa,-1.12,0.01,-1.12,0.01
Aldoart2,1.14,0.74,-1.82,0.02
Aldoc,1.03,0.6,-1.04,0.52
Alg1,1.07,0.31,1.02,0.71
Alg11,1.51,0.0,1.86,0.0
Alg2,1.14,0.02,1.19,0.0
Alg3,1.1,0.15,-1.04,0.66
Alkbh2,-1.14,0.09,-1.26,0.01
Alkbh4,1.15,0.07,1.03,0.69
Alkbh7,-1.34,0.0,-1.48,0.0
Alyref,-1.03,0.59,-1.09,0.13
Amacr,-1.02,0.81,-1.02,0.83
Amd1,1.17,0.03,1.47,0.0
Amdhd2,1.04,0.63,-1.21,0.02
Amigo1,1.96,0.0,2.15,0.0
Amigo2,1.23,0.09,1.13,0.25
Amigo3,1.11,0.37,1.3,0.04
Ammecr1l,1.29,0.01,1.53,0.0
Amotl2,1.18,0.11,1.32,0.02
Ampd2,1.1,0.07,1.1,0.09
Amt,1.14,0.05,1.15,0.04
Amz2,1.16,0.02,1.27,0.0
Anapc11,-1.13,0.13,-1.38,0.0
Anapc13,-1.23,0.01,-1.41,0.0
Anapc15,-1.04,0.41,-1.24,0.0
Anapc2,1.05,0.27,1.04,0.38
Anapc5,1.11,0.07,1.09,0.11
Anapc7,1.12,0.07,1.14,0.03
Angel2,1.41,0.0,1.5,0.0
Angptl4,-1.0,0.93,1.02,0.74
Ankmy2,1.11,0.07,1.16,0.02
Ankra2,1.03,0.68,1.1,0.21
Ankrd13a,1.2,0.02,1.22,0.01
Ankrd13c,1.08,0.45,1.33,0.02
Ankrd13d,1.09,0.08,1.05,0.27
Ankrd29,1.11,0.3,1.84,0.0
Ankrd34a,1.03,0.59,1.09,0.1
Ankrd40,1.29,0.0,1.21,0.01
Ankrd46,1.17,0.02,1.36,0.0
Ankrd49,1.15,0.07,1.28,0.0
Ankrd52,2.68,0.0,3.02,0.0
Ankrd54,1.01,0.87,-1.07,0.39
Ankrd9,1.06,0.42,-1.05,0.48
Anks3,1.17,0.04,1.13,0.08
Ankzf1,1.21,0.06,1.16,0.12
Anp32a,1.1,0.18,1.17,0.05
Anp32b,-1.02,0.81,1.01,0.92
Anp32e,1.34,0.01,1.51,0.0
Anxa11,1.12,0.08,1.02,0.72
Anxa5,1.13,0.37,1.02,0.94
Anxa6,1.09,0.47,1.12,0.32
Anxa7,1.11,0.05,1.12,0.03
Aoc2-ps1,2.03,0.0,2.58,0.0
Ap1ar,1.04,0.47,1.16,0.03
Ap1b1,1.17,0.01,1.18,0.01
Ap1m1,-1.03,0.49,-1.08,0.13
Ap1s1,-1.07,0.09,-1.12,0.02
Ap2a1,1.22,0.01,1.21,0.02
Ap2a2,1.41,0.01,1.62,0.0
Ap2b1,1.15,0.05,1.32,0.0
Ap2m1,-1.01,0.85,-1.04,0.3
Ap2s1,-1.14,0.01,-1.23,0.0
Ap3d1,1.2,0.01,1.26,0.0
Ap3m1,1.11,0.21,1.38,0.0
Ap3m2,1.43,0.0,1.52,0.0
Ap4b1,1.11,0.17,1.21,0.02
Ap4m1,1.64,0.0,1.64,0.0
Ap5b1,1.04,0.64,1.12,0.17
Ap5s1,1.27,0.01,1.29,0.01
Ap5z1,1.23,0.01,1.17,0.05
Apba2,1.46,0.0,1.41,0.01
Apba3,1.13,0.19,-1.02,0.96
Apbb1,1.06,0.23,-1.01,0.77
Apbb3,1.19,0.0,1.08,0.15
Apc,2.13,0.0,2.45,0.0
Apc2,1.42,0.0,1.58,0.0
Apeh,1.2,0.0,1.05,0.32
Apex1,1.01,0.75,-1.02,0.59
Aph1a,1.13,0.02,-1.01,0.86
Api5,1.13,0.26,1.7,0.0
Apln,1.31,0.01,1.31,0.01
Aplp1,1.04,0.48,-1.07,0.24
Aplp2,1.17,0.01,1.26,0.0
Apmap,1.09,0.15,1.1,0.12
Apoc1,-1.32,0.09,-1.43,0.03
Apod,1.19,0.05,-1.2,0.04
Apoe,-1.13,0.08,-1.27,0.0
Apold1,3.06,0.0,1.68,0.0
App,1.22,0.02,1.27,0.01
Appbp2,1.33,0.01,1.62,0.0
Aprt,-1.18,0.01,-1.39,0.0
Aqp4,1.48,0.01,1.91,0.0
Araf,-1.03,0.61,-1.05,0.39
Arc,1.08,0.33,1.39,0.0
Arcn1,1.17,0.03,1.32,0.0
Arel1,1.31,0.0,1.4,0.0
Arf1,1.09,0.05,1.07,0.1
Arf2,-1.0,0.96,1.11,0.12
Arf3,1.1,0.05,1.2,0.0
Arf4,1.1,0.28,1.38,0.0
Arf5,-1.19,0.02,-1.27,0.0
Arf6,1.1,0.07,1.19,0.0
Arfgap1,1.22,0.0,1.12,0.04
Arfgap2,1.12,0.01,1.03,0.43
Arfip2,1.05,0.25,-1.02,0.7
Arfrp1,1.23,0.01,1.17,0.04
Arglu1,1.4,0.02,1.36,0.03
Arhgap1,1.15,0.04,1.21,0.01
Arhgap21,1.55,0.0,1.71,0.0
Arhgap35,1.3,0.01,1.55,0.0
Arhgap5,2.21,0.0,4.44,0.0
Arhgdia,-1.03,0.49,-1.12,0.03
Arhgef1,1.41,0.0,1.19,0.06
Arhgef2,1.28,0.0,1.3,0.0
Arhgef25,1.18,0.05,-1.05,0.53
Arhgef3,1.25,0.03,1.27,0.02
Arhgef39,1.04,0.75,-1.19,0.09
Arhgef40,1.56,0.0,1.36,0.02
Arhgef9,1.63,0.0,1.92,0.0
Arid1a,1.32,0.01,1.55,0.0
Arid5a,1.12,0.25,1.08,0.38
Arl1,1.22,0.01,1.42,0.0
Arl11,-1.03,0.76,-1.08,0.43
Arl14ep,1.3,0.02,1.49,0.0
Arl2,-1.14,0.02,-1.32,0.0
Arl2bp,1.02,0.63,1.1,0.05
Arl3,-1.11,0.04,-1.2,0.0
Arl4a,1.1,0.59,1.29,0.12
Arl4c,-1.03,0.63,1.13,0.05
Arl4d,-1.1,0.1,1.07,0.24
Arl6ip1,1.01,0.82,1.19,0.02
Arl6ip4,-1.1,0.06,-1.22,0.0
Arl6ip5,1.1,0.12,1.04,0.47
Arl8a,1.0,0.92,-1.05,0.21
Arl8b,1.15,0.16,1.58,0.0
Armc10,1.03,0.63,1.06,0.26
Armc5,1.23,0.01,1.03,0.56
Armcx2,1.19,0.03,1.46,0.0
Armcx3,1.32,0.01,1.58,0.0
Armcx6,-1.03,0.59,1.03,0.61
Armt1,1.04,0.6,1.14,0.09
Arnt2,1.26,0.02,1.47,0.0
Arpc1a,1.01,0.83,-1.04,0.41
Arpc2,1.13,0.03,1.11,0.04
Arpc3,-1.04,0.47,-1.06,0.27
Arpc4,-1.05,0.28,-1.08,0.08
Arpc5,1.12,0.1,1.23,0.01
Arpc5l,-1.09,0.17,1.0,0.96
Arpp21,-1.02,0.88,1.38,0.02
Arrb2,1.03,0.51,-1.08,0.12
Arrdc1,1.08,0.15,-1.05,0.38
Arrdc2,1.62,0.0,1.02,0.71
Arsa,1.32,0.0,1.21,0.03
Arse,1.26,0.05,1.08,0.52
Arx,1.01,0.94,1.19,0.03
Asah1,1.17,0.14,1.33,0.01
Asb1,2.26,0.0,2.32,0.0
Asb6,-1.01,0.84,-1.08,0.13
Asb8,1.08,0.11,1.06,0.22
Ascl1,1.18,0.08,1.38,0.0
Ash2l,1.19,0.01,1.26,0.0
Asic1,1.12,0.27,1.21,0.06
Asmtl,-1.11,0.08,-1.24,0.0
Asna1,-1.1,0.03,-1.09,0.04
Asns,1.26,0.01,1.41,0.0
Asnsd1,1.04,0.61,1.32,0.0
Asphd2,1.14,0.08,-1.04,0.54
Asrgl1,1.1,0.15,1.09,0.17
Atad3a,1.06,0.33,1.09,0.15
Atat1,1.2,0.13,1.13,0.24
Atcay,1.3,0.0,1.29,0.0
Atf4,-1.06,0.11,-1.03,0.39
Atf5,1.06,0.34,-1.22,0.0
Atf6b,1.15,0.02,1.05,0.4
Atg101,-1.18,0.0,-1.16,0.01
Atg12,1.1,0.28,1.41,0.0
Atg13,1.41,0.0,1.5,0.0
Atg16l1,1.15,0.04,1.13,0.06
Atg2a,1.44,0.0,1.44,0.0
Atg4b,1.05,0.34,1.01,0.74
Atg4d,-1.08,0.11,-1.12,0.02
Atg9a,1.21,0.01,1.16,0.04
Atic,1.16,0.02,1.17,0.02
Atmin,1.21,0.03,1.33,0.0
Atn1,1.19,0.03,1.31,0.0
Atox1,-1.15,0.01,-1.38,0.0
Atp13a1,1.23,0.01,1.18,0.03
Atp13a2,1.15,0.07,1.12,0.13
Atp1a1,1.16,0.02,1.26,0.0
Atp1a2,1.46,0.0,1.54,0.0
Atp1a3,1.09,0.21,1.14,0.06
Atp1b1,1.01,0.88,1.14,0.03
Atp1b2,1.14,0.08,1.19,0.02
Atp1b3,1.1,0.24,1.08,0.34
Atp2a2,1.29,0.01,1.51,0.0
Atp2b1,1.74,0.0,2.17,0.0
Atp2b3,1.78,0.0,1.99,0.0
Atp2c1,1.3,0.02,1.69,0.0
Atp5a1,1.01,0.84,1.02,0.6
Atp5b,1.01,0.81,1.03,0.4
Atp5c1,1.02,0.57,1.02,0.55
Atp5d,-1.15,0.0,-1.27,0.0
Atp5e,-1.26,0.0,-1.56,0.0
Atp5g1,-1.2,0.0,-1.33,0.0
Atp5g2,-1.15,0.01,-1.37,0.0
Atp5g3,-1.07,0.3,1.08,0.24
Atp5h,-1.24,0.0,-1.23,0.0
Atp5i,-1.21,0.0,-1.35,0.0
Atp5j,-1.03,0.52,-1.1,0.07
Atp5j2,-1.03,0.45,-1.15,0.0
Atp5l,-1.12,0.07,-1.07,0.23
Atp5o,-1.18,0.0,-1.24,0.0
Atp5sl,1.02,0.66,1.0,0.95
Atp6ap1,1.04,0.39,1.12,0.02
Atp6ap2,1.13,0.14,1.38,0.0
Atp6v0a1,1.19,0.02,1.22,0.01
Atp6v0b,-1.23,0.0,-1.31,0.0
Atp6v0c,-1.07,0.11,-1.09,0.03
Atp6v0d1,1.04,0.44,-1.01,0.91
Atp6v0e2,1.17,0.04,1.03,0.6
Atp6v1a,1.22,0.02,1.53,0.0
Atp6v1b2,1.11,0.12,1.23,0.0
Atp6v1c1,1.08,0.2,1.22,0.01
Atp6v1d,1.07,0.2,1.12,0.05
Atp6v1e1,-1.01,0.85,-1.06,0.28
Atp6v1f,-1.15,0.02,-1.3,0.0
Atp6v1g1,-1.1,0.05,-1.17,0.0
Atp6v1g2,-1.0,0.91,-1.04,0.24
Atp8b2,1.39,0.01,1.5,0.0
Atpaf1,1.34,0.01,1.66,0.0
Atpaf2,1.02,0.76,-1.06,0.43
Atpif1,-1.21,0.0,-1.28,0.0
Atraid,-1.04,0.43,-1.09,0.08
Atrn,1.37,0.01,1.69,0.0
Atxn10,-1.02,0.73,1.05,0.4
Atxn2l,1.52,0.0,1.5,0.0
Atxn7l3b,1.17,0.05,1.46,0.0
Aup1,1.05,0.28,-1.09,0.04
Aurkaip1,-1.21,0.01,-1.5,0.0
Aurkc,1.01,0.84,1.08,0.29
Avpi1,-1.06,0.26,-1.2,0.0
Azi2,1.14,0.08,1.16,0.05
Azin1,1.23,0.04,1.66,0.0
B2m,1.03,0.68,-1.05,0.56
B3galnt1,1.02,0.76,1.26,0.03
B3galt1,1.68,0.0,2.44,0.0
B3galt2,1.18,0.12,1.81,0.0
B3galt4,-1.0,0.92,-1.22,0.02
B3galt5,1.28,0.03,1.4,0.0
B3galt6,1.67,0.0,1.82,0.0
B3gat1,1.61,0.0,1.53,0.0
B3gat3,-1.04,0.39,-1.14,0.02
B3gnt7,1.04,0.66,1.02,0.87
B4galnt1,1.03,0.65,1.01,0.83
B4galnt4,1.16,0.03,1.14,0.05
B4galt2,1.01,0.79,-1.06,0.27
B4galt3,-1.01,0.92,1.0,0.95
B4galt5,1.03,0.56,1.11,0.07
B4galt6,1.08,0.36,1.32,0.01
B4galt7,1.02,0.79,-1.06,0.4
B4gat1,1.02,0.7,1.02,0.68
B9d2,-1.14,0.04,-1.38,0.0
Baalc,1.21,0.01,1.31,0.0
Babam1,-1.05,0.3,-1.13,0.01
Bace1,1.66,0.0,1.77,0.0
Bad,-1.14,0.04,-1.25,0.0
Bag1,-1.01,0.84,-1.11,0.04
Bag2,1.0,0.91,1.14,0.07
Bag4,1.65,0.0,1.94,0.0
Bag6,1.14,0.02,1.12,0.05
Bai1,1.23,0.01,1.19,0.03
Baiap2,1.29,0.01,1.3,0.01
Bak1,1.09,0.16,-1.03,0.58
Banf1,-1.14,0.01,-1.26,0.0
Bap1,1.2,0.01,1.22,0.0
Basp1,1.01,0.81,-1.07,0.44
Bax,-1.06,0.24,-1.08,0.1
Baz1b,1.36,0.0,1.58,0.0
Baz2a,2.05,0.0,2.17,0.0
Bbs1,1.21,0.03,1.26,0.01
Bbs10,1.11,0.13,1.36,0.0
Bc1,-1.36,0.23,-1.21,0.5
Bcam,1.07,0.69,-1.09,0.53
Bcan,1.22,0.01,1.08,0.2
Bcap31,1.11,0.14,1.11,0.13
Bcar1,1.2,0.05,1.04,0.58
Bcas1,1.32,0.02,-1.04,0.84
Bcas2,-1.13,0.04,-1.02,0.63
Bcat1,1.06,0.25,1.17,0.01
Bccip,-1.01,0.79,1.02,0.7
Bcdin3d,-1.02,0.72,-1.0,0.92
Bckdha,-1.01,0.83,-1.1,0.14
Bckdk,1.05,0.38,-1.04,0.47
Bcl10,1.13,0.12,1.14,0.1
Bcl2l1,1.03,0.53,1.02,0.66
Bcl2l2,1.25,0.0,1.23,0.0
Bcl6,1.21,0.06,1.46,0.0
Bcl7b,-1.04,0.38,-1.09,0.09
Bcl7c,-1.12,0.22,-1.44,0.0
Bcl9l,1.62,0.0,1.71,0.0
Bclaf1,1.63,0.0,1.83,0.0
Bcs1l,1.09,0.17,-1.01,0.89
Becn1,1.06,0.31,1.05,0.36
Begain,1.16,0.05,1.04,0.54
Bend6,1.28,0.01,1.46,0.0
Bet1l,-1.1,0.1,-1.04,0.52
Bex1,-1.27,0.0,-1.2,0.01
Bex2,-1.26,0.0,-1.24,0.01
Bex3,-1.18,0.01,-1.11,0.06
Bgn,1.5,0.22,1.2,0.5
Bhlhb9,1.4,0.01,1.81,0.0
Bhlhe22,1.18,0.11,1.34,0.01
Bhlhe23,1.62,0.01,-1.03,0.75
Bhlhe40,1.16,0.03,1.27,0.0
Bicd2,1.38,0.0,1.53,0.0
Bin1,1.06,0.24,-1.05,0.3
Birc2,1.33,0.01,1.62,0.0
Blcap,1.03,0.52,1.15,0.0
Bles03,-1.0,0.94,-1.12,0.01
Bloc1s1,-1.23,0.0,-1.4,0.0
Bloc1s2,-1.16,0.11,-1.06,0.53
Bloc1s4,-1.17,0.02,-1.13,0.05
Bloc1s6,1.27,0.05,1.44,0.0
Blvra,-1.11,0.31,-1.05,0.56
Blvrb,-1.09,0.24,-1.11,0.14
Bmi1,1.39,0.0,1.49,0.0
Bmp4,1.01,0.79,-1.08,0.41
Bmyc,-1.2,0.0,-1.37,0.0
Bnip1,-1.08,0.19,-1.1,0.09
Bnip3,1.04,0.65,1.13,0.2
Bnip3l,1.15,0.18,1.49,0.0
Bod1,-1.07,0.24,-1.02,0.74
Bok,1.04,0.79,-1.19,0.08
Bola1,-1.36,0.01,-1.51,0.0
Bola3,-1.01,0.84,-1.14,0.04
Bop1,1.03,0.57,1.03,0.63
Borcs6,-1.0,0.9,-1.14,0.0
Borcs7,1.38,0.0,1.57,0.0
Bpgm,1.0,0.98,-1.03,0.45
Bpnt1,-1.01,0.96,1.03,0.7
Brap,1.14,0.06,1.14,0.05
Brcc3,1.17,0.09,1.43,0.0
Brd3,1.55,0.0,1.68,0.0
Brd4,1.18,0.05,1.42,0.0
Brd7,1.03,0.65,1.1,0.19
Brd8,1.19,0.01,1.23,0.0
Brd9,1.07,0.27,1.08,0.22
Brf2,1.09,0.14,1.03,0.54
Bri3,-1.13,0.27,-1.27,0.07
Brix1,1.14,0.11,1.25,0.02
Brk1,-1.03,0.6,1.01,0.86
Brms1l,1.14,0.16,1.43,0.0
Brox,1.29,0.01,1.54,0.0
Brpf1,1.26,0.01,1.3,0.01
Brsk1,1.16,0.03,1.04,0.45
Bscl2,-1.1,0.04,-1.12,0.02
Bsdc1,1.1,0.08,1.1,0.08
Bsg,-1.09,0.05,-1.2,0.0
Bsn,1.28,0.02,1.56,0.0
Bspry,1.18,0.07,1.02,0.71
Bst2,-1.19,0.41,-1.19,0.46
Btbd1,1.21,0.02,1.48,0.0
Btbd17,-1.01,0.85,-1.26,0.0
Btbd3,1.99,0.0,2.26,0.0
Btbd6,-1.03,0.5,-1.03,0.4
Btf3,1.07,0.25,-1.0,0.93
Btg1,-1.01,0.97,1.3,0.03
Btg2,1.14,0.04,1.13,0.06
Btg3,-1.01,0.93,1.1,0.31
Bub3,1.11,0.04,1.05,0.31
Bud31,-1.03,0.49,-1.08,0.08
Bysl,1.45,0.0,1.38,0.0
Bzw1,1.41,0.0,1.73,0.0
C1d,-1.18,0.23,-1.01,0.99
C1galt1c1,1.19,0.03,1.44,0.0
C1qa,-1.12,0.07,-1.24,0.0
C1qb,-1.14,0.06,-1.28,0.0
C1qbp,-1.03,0.58,-1.05,0.36
C1qc,-1.12,0.18,-1.44,0.0
C1ql1,-1.08,0.29,-1.28,0.0
C1ql2,-1.0,0.92,-1.08,0.84
C1ql3,1.19,0.08,1.46,0.0
C1qtnf4,-1.14,0.06,-1.27,0.0
C1qtnf5,-1.0,0.97,-1.22,0.07
C1r,1.29,0.06,1.1,0.44
C2cd2l,1.1,0.04,1.1,0.04
C2cd4c,-1.04,0.63,1.09,0.35
Cab39,1.11,0.22,1.3,0.01
Cabp1,1.08,0.46,-1.23,0.03
Cabp7,1.27,0.05,1.07,0.57
Cacna1h,1.37,0.0,1.48,0.0
Cacnb1,1.05,0.33,1.1,0.07
Cacnb3,1.07,0.21,1.05,0.35
Cacng7,1.58,0.0,1.47,0.0
Cacng8,1.35,0.01,1.24,0.04
Cactin,1.09,0.19,1.07,0.26
Cacybp,1.01,0.86,1.3,0.02
Cadm3,1.65,0.0,1.66,0.0
Cadm4,1.15,0.04,1.05,0.36
Calb1,-1.06,0.68,1.31,0.04
Calhm2,-1.07,0.18,-1.03,0.58
Calm1,1.3,0.0,1.51,0.0
Calm2,-1.03,0.7,1.12,0.08
Calm3,1.19,0.03,1.0,0.9
Calr,-1.05,0.2,1.02,0.64
Calu,1.22,0.02,1.27,0.01
Caly,-1.17,0.0,-1.22,0.0
Camk1,-1.17,0.05,-1.13,0.12
Camk1g,1.04,0.67,1.06,0.48
Camk2a,1.95,0.0,1.79,0.0
Camk2b,1.25,0.02,1.16,0.09
Camk2g,1.62,0.0,1.65,0.0
Camk2n1,1.04,0.39,1.04,0.38
Camk2n2,1.04,0.55,-1.11,0.23
Camkk1,1.22,0.03,1.19,0.06
Camkv,1.13,0.03,1.21,0.0
Camlg,1.0,0.99,-1.01,0.89
Camsap1,1.4,0.0,1.54,0.0
Camsap2,1.42,0.01,1.83,0.0
Camsap3,1.07,0.3,1.15,0.07
Camta2,1.41,0.0,1.35,0.01
Cand1,1.42,0.01,1.83,0.0
Cant1,1.08,0.11,1.03,0.5
Canx,1.26,0.03,1.66,0.0
Cap1,1.19,0.0,1.18,0.0
Capn10,-1.02,0.79,1.0,0.9
Capn15,1.3,0.01,1.32,0.01
Capn2,1.15,0.07,1.28,0.0
Capn5,1.24,0.04,1.19,0.08
Capns1,-1.19,0.03,1.04,0.52
Caprin1,1.4,0.0,1.72,0.0
Capza1,1.19,0.06,1.51,0.0
Capza2,1.18,0.11,1.47,0.0
Capzb,1.08,0.18,1.04,0.42
Car11,1.07,0.13,-1.02,0.57
Car2,1.14,0.17,-1.07,0.76
Car4,1.01,0.79,-1.15,0.05
