"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT08"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-02-15","7.83"," 2250","0.01","0.0","0.0","40","45","36","  190","  220","14.1","19.0",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-02-16","14.09"," 1033","0.11","0.0","0.0","42","47","40","  180","  180","23.0","32.0",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-02-17","20.13"," 1434","0.30","0.0","0.0","46","49","39","  230","  230","33.1","49.0",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-02-18","17.22"," 1835","0.06","0.0","0.0","38","39","30","  330","  340","32.0","42.1",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-02-19","10.51"," 0453","0.00","0.0","0.0","32","37","28","  350","  350","23.0","32.0",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-02-20","6.93"," 1634","0.00","0.0","0.0","31","36","27","   10","   10","15.0","18.1",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-02-21","8.28"," 1440","0.06","1.0","0.0","31","34","26","  190","  190","16.1","18.1",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-02-22","9.84"," 1056","0.00","0.0","1.2","31","38","26","  350","  340","17.0","23.9","    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-02-23","11.18"," 2256","0.03","0.0","0.0","30","40","24","  190","  200","25.1","31.1","    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-02-24","10.74"," 0356","0.06","0.0","0.0","37","45","36","  210","  180","23.9","30.0","    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-02-25","15.43"," 0802","0.20","0.0","0.0","42","43","35","  220","  200","28.0","35.1","    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-02-26","6.71"," 2357","0.00","0.0","0.0","37","45","32","  190","  190","13.0","16.1",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-02-27","15.21"," 1235","0.01","0.0","0.0","40","47","37","  210","  210","29.1","38.0",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-02-28","9.62"," 1752","0.15","0.0","0.0","42","47","39","  190","  120","18.1","27.1",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-03-01","7.61",,"0.03","0.0","0.0","44","51","37","  210","  200","23.9","32.0","    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-03-02","5.82",,"0.18","0.0","0.0","42","45","37","  220","  200","17.0","23.9","    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-03-03","8.50",,"0.00","0.0","0.0","41","52","34","  350","  360","14.1","17.0",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-03-04","8.05",,"0.13","0.0","0.0","40","48","33","  260","  250","19.9","25.9","    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-03-05","6.04",,"0.00","0.0","0.0","41","47","39","  220","  200","13.0","16.1",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-03-06","9.62",,"0.00","0.0","0.0","44","53","37","   30","   30","17.0","23.9",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-03-07","9.40",,"0.04","0.0","0.0","43","50","35","   10","   10","17.0","19.9",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-03-08","12.30",,"0.35","0.0","0.0","45","52","39","  200","  210","31.1","38.9","    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-03-09","9.17",,"0.00","0.0","0.0","46","52","40","  200","  210","25.1","35.1","    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-03-10","5.82",,"0.00","0.0","0.0","44","59","34","  110","  120","13.0","17.0",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-03-11","5.59",,"0.00","0.0","0.0","51","64","39","   60","  300","10.1","17.0",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-03-12","11.41",,"0.00","0.0","0.0","57","73","42","  110","  120","23.9","32.0",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-03-13","11.63",,"0.27","0.0","0.0","60","64","44","  120","  120","25.1","36.0","    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-03-14","10.07",,"0.03","0.0","0.0","47","53","40","  200","  200","19.9","33.1","    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-03-15","7.61",,"0.00","0.0","0.0","45","56","35","   20","   20","18.1","23.9",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-03-16","7.83",,"0.00","0.0","0.0","47","58","39","   10","  310","18.1","23.0",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-03-17","7.61",,"0.00","0.0","0.0","46","54","38","  230","  210","16.1","19.0",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-03-18","6.93",,"0.00","0.0","0.0","46","55","39","  210","  210","12.1","15.0",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-03-19","4.25",,"0.00","0.0","0.0","45","55","37","   50","  330","10.1","15.0",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-03-20","4.92",,"0.00","0.0","0.0","46","56","36","   30","   30","13.0","15.0",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-03-21","4.03",,"0.10","0.0","0.0","46","58","36","  160","  240","8.9","14.1",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-03-22","10.07",,"0.46","0.0","0.0","47","49","39","  210","  210","23.9","32.0","    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-03-23","8.50",,"0.35","0.0","0.0","41","49","34","  200","  210","19.9","25.1","    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-03-24","6.93",,"0.23","0.0","0.0","41","47","34","  200","  200","16.1","19.9","    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-03-25","8.28",,"0.04","0.0","0.0","43","52","37","  250","  200","17.0","21.0","    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-03-26","14.54",,"0.15","0.0","0.0","44","46","40","  200","  200","23.0","29.1","    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-03-27","15.21",,"0.08","0.0","0.0","47","52","45","  200","  200","25.9","35.1","    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-03-28","6.71",,"0.00","0.0","0.0","47","54","44","  200","  210","14.1","19.9","    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-03-29","7.61",,"0.00","0.0","0.0","48","55","43","  220","  230","13.0","17.0",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-03-30","9.62",,"0.00","0.0","0.0","50","57","46","  200","  210","18.1","23.0",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-03-31","5.59",,"0.00","0.0","0.0","50","59","45","  220","  220","15.0","19.0",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-04-01","14.99",,"0.00","0.0","0.0","47","50","38","  210","  210","25.9","34.0",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-04-02","11.63",,"0.00","0.0","0.0","43","53","36","  220","  200","21.0","27.1",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-04-03","6.04",,"0.00","0.0","0.0","45","50","39","  200","  200","14.1","18.1",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-04-04","4.92",,"0.29","0.0","0.0","45","50","41","   80","   80","10.1","13.0","    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-04-05","6.49",,"0.21","0.0","0.0","49","56","46","  100","  170","14.1","16.1","    1","    1",
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-04-06","6.71",,"0.05","0.0","0.0","54","65","49","   90","  180","14.1","19.0","    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-04-07","11.18",,"0.82","0.0","0.0","57","62","46","  200","  210","21.9","30.0","    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-04-08","16.11",,"0.39","0.0","0.0","48","51","46","  170","  220","23.9","30.0","    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-04-09","6.71",,"0.00","0.0","0.0","50","62","44","  200","  200","14.1","19.0",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-04-10","10.74",,"0.18","0.0","0.0","54","60","46","  200","  190","23.9","31.1","    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-04-11","10.29",,"0.21","0.0","0.0","51","54","42","  200","  220","25.9","38.0","    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-04-12","11.86",,"0.11","0.0","0.0","45","51","41","  220","  230","19.9","25.1","    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-04-13","14.32",,"0.66","0.0","0.0","47","53","43","  190","  200","25.1","33.1","    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-04-14","6.26",,"1.70","0.0","0.0","49","53","45","  160","  160","17.0","21.9","    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-04-15","10.07",,"0.12","0.0","0.0","47","51","43","  360","  360","21.9","25.1","    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-04-16","14.32",,"0.59","0.0","0.0","45","47","41","  200","  210","25.1","35.1","    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-04-17","14.54",,"0.01","0.0","0.0","46","53","42","  220","  220","28.0","34.0",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-04-18","7.61",,"0.00","0.0","0.0","48","60","41","   20","  360","15.0","21.0",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-04-19","5.37",,"0.00","0.0","0.0","51","62","41","   50","  320","12.1","16.1",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-04-20","6.71",,"0.00","0.0","0.0","53","63","43","  240","  250","16.1","21.0",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-04-21","12.75",,"0.03","0.0","0.0","51","56","45","  190","  210","23.9","29.1",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-04-22","9.62",,"0.00","0.0","0.0","50","59","44","   40","  340","17.0","21.0",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-04-23","11.41",,"0.00","0.0","0.0","53","69","41","  340","  350","23.0","27.1",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-04-24","11.18",,"0.00","0.0","0.0","63","77","49","   10","   10","21.0","23.9",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-04-25","10.51",,"0.00","0.0","0.0","63","75","51","   30","   30","18.1","21.9",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-04-26","8.28",,"0.00","0.0","0.0","65","82","51","  350","  350","16.1","18.1",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-04-27","10.96",,"0.01","0.0","0.0","58","58","49","  220","  210","23.9","29.1","    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-04-28","8.05",,"0.31","0.0","0.0","51","55","47","  210","  210","15.0","19.0","    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-04-29","9.84",,"0.00","0.0","0.0","52","61","46","  220","  220","16.1","19.9",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-04-30","6.93",,"0.00","0.0","0.0","51","59","47","  200","  210","12.1","19.9",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-05-01","5.37",,"0.00","0.0","0.0","52","62","48","  300","  330","10.1","13.0",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-05-02","5.14",,"0.00","0.0","0.0","55","70","45","  360","  280","12.1","15.0","    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-05-03","7.16",,"0.00","0.0","0.0","61","74","50","  220","  210","21.0","25.1",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-05-04","7.61",,"0.00","0.0","0.0","56","64","50","   30","  360","16.1","19.9",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-05-05","8.05",,"0.01","0.0","0.0","57","68","48","   20","   20","15.0","18.1",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-05-06","6.26",,"0.00","0.0","0.0","62","77","52","  220","  220","18.1","23.0",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-05-07","5.82",,"0.00","0.0","0.0","58","69","53","  280","  260","12.1","16.1",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-05-08","6.04",,"0.03","0.0","0.0","62","75","50","  220","  210","19.9","25.9",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-05-09","9.84",,"0.00","0.0","0.0","60","67","52","  250","  230","18.1","25.1",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-05-10","7.83",,"0.04","0.0","0.0","55","62","50","  210","  210","14.1","19.9",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-05-11","4.92",,"0.00","0.0","0.0","54","67","50","  260","  270","13.0","16.1",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-05-12","7.61",,"0.00","0.0","0.0","60","77","49","   40","   30","16.1","21.9",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-05-13","4.70",,"0.00","0.0","0.0","67","85","52","   40","   40","13.0","16.1",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-05-14","6.04",,"0.00","0.0","0.0","71","88","58","  340","  340","13.0","15.0",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-05-15","8.95",,"0.00","0.0","0.0","65","69","54","  220","  240","14.1","17.0",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-05-16","8.28",,"0.00","0.0","0.0","59","68","53","  200","  220","14.1","19.9",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-05-17","6.71",,"0.00","0.0","0.0","58","67","53","  230","  260","12.1","15.0",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-05-18","4.92",,"0.00","0.0","0.0","58","66","53","  200","  220","8.9","14.1",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-05-19","3.80",,"0.04","0.0","0.0","60","72","45","  270","  280","8.1","11.0","    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-05-20","6.93",,"0.00","0.0","0.0","60","68","55","  360","  360","10.1","13.0",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-05-21","5.82",,"0.00","0.0","0.0","60","72","54","  290","  290","15.0","19.0",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-05-22","8.72",,"0.00","0.0","0.0","63","79","51","   20","   10","15.0","17.0",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-05-23","6.93",,"0.00","0.0","0.0","68","80","55","  200","  210","15.0","18.1",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-05-24","6.49",,"0.00","0.0","0.0","62","70","54","  210","  310","13.0","16.1","    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-05-25","5.82",,"0.00","0.0","0.0","60","68","52","   20","  340","10.1","17.0",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-05-26","5.14",,"0.00","0.0","0.0","59","68","52","  220","  210","12.1","16.1",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-05-27","4.70",,"0.00","0.0","0.0","60","75","51","  230","  290","8.9","14.1",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-05-28","7.38",,"0.00","0.0","0.0","61","70","52","   10","   10","15.0","17.0",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-05-29","6.71",,"0.00","0.0","0.0","58","65","50","   10","  190","14.1","17.0",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-05-30","7.83",,"0.00","0.0","0.0","56","67","48","  360","  340","16.1","19.9",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-05-31","7.16",,"0.00","0.0","0.0","56","67","49","  210","  210","18.1","21.9",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-06-01","9.17",,"0.00","0.0","0.0","56","68","48","  200","  200","16.1","21.9",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-06-02","5.82",,"0.00","0.0","0.0","62","77","54","  350","  260","10.1","13.0",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-06-03","4.92",,"0.01","0.0","0.0","61","63","53","  260","  260","13.0","16.1",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-06-04","5.14",,"0.00","0.0","0.0","55","69","49","  220","  220","13.0","17.0","    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-06-05","7.61",,"0.00","0.0","0.0","58","69","49","  230","  220","19.9","25.1",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-06-06","5.82",,"0.00","0.0","0.0",,"75","51","  210","  210","8.9","13.0",,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2018-06-07","10.07",,"0.00","0.0","0.0",,"68","55","  260","  250","16.1","19.9",,,
