Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DEBIT,07/02/2018,"PAYPAL           INST XFER  PATREON         WEB ID: PAYPALSI77",-2.00,ACH_DEBIT,766.31,,
DEBIT,07/02/2018,"350.ORG 646-801-0759 NY                      07/01",-10.00,DEBIT_CARD,768.31,,
DEBIT,07/02/2018,"SQ *JJ'S IN AND OUT GOS Bellingham WA        06/30",-5.42,DEBIT_CARD,778.31,,
DEBIT,07/02/2018,"SQC*QUINCY SANDER 8774174551 CA              06/29",-7.00,DEBIT_CARD,783.73,,
DEBIT,06/29/2018,"PUGET SOUND ENER PSE BILL   0875185583      CCD ID: 2910374630",-22.68,ACH_DEBIT,790.73,,
DEBIT,06/29/2018,"Online Transfer to  SAV ...9660 transaction#: 7194029820",-50.00,ACCT_XFER,813.41,,
DEBIT,06/29/2018,"JIMMY JOHNS - 3395 BELLINGHAM WA             06/28",-6.51,DEBIT_CARD,863.41,,
CREDIT,06/29/2018,"PAYPAL           TRANSFER                   PPD ID: PAYPALSD11",566.00,ACH_CREDIT,869.92,,
DEBIT,06/28/2018,"AMAZON MKTPLACE PMTS AMZN.COM/BILL WA        06/27",-60.11,DEBIT_CARD,303.92,,
CREDIT,06/28/2018,"KEY CR. TRANSFER ONLINE-BK  018177074451309 WEB ID: 9000000008",63.32,ACH_CREDIT,364.03,,
DSLIP,06/28/2018,"DEPOSIT  ID NUMBER 676014",220.00,DEPOSIT,300.71,,
DEBIT,06/27/2018,"76 - MONTLAKE 76 SEATTLE WA                  06/27",-54.29,DEBIT_CARD,80.71,,
CREDIT,06/26/2018,"KEY CR. TRANSFER ONLINE-BK  018176008565339 WEB ID: 9000000008",135.00,ACH_CREDIT,135.00,,
DEBIT,06/25/2018,"Online Payment 7163916486 To RPM Property Managers 06/25",-1605.00,BILLPAY,0.00,,
DEBIT,06/25/2018,"APPLE STORE  #R072 265 SEATTLE WA            06/22",-109.00,DEBIT_CARD,1605.00,,
DEBIT,06/25/2018,"APPLE STORE  #R072 SEATTLE WA                06/22",-31.93,DEBIT_CARD,1714.00,,
CREDIT,06/25/2018,"KEY CR. TRANSFER ONLINE-BK  018173996035161 WEB ID: 9000000008",1150.00,ACH_CREDIT,1745.93,,
CREDIT,06/25/2018,"ODP TRANSFER FROM SAVINGS 000002902589660",398.03,MISC_CREDIT,595.93,,
DEBIT,06/22/2018,"KIZUKI RAMEN & IZAKAYA SEATTLE WA            06/22",-48.19,DEBIT_CARD,197.90,,
DEBIT,06/21/2018,"ARCO 07063 OLYMPIA WA                        06/20",-48.82,DEBIT_CARD,246.09,,
DEBIT,06/20/2018,"SDOT PAYBYPHONE PARKI 111-111-1111 WA        06/18",-3.00,DEBIT_CARD,294.91,,
DEBIT,06/19/2018,"COMCAST          CABLE                      PPD ID: 0000213249",-69.97,ACH_DEBIT,297.91,,
DEBIT,06/19/2018,"PAYPAL           INST XFER  HOTELS.COM      WEB ID: PAYPALSI77",-77.23,ACH_DEBIT,367.88,,
DEBIT,06/19/2018,"STARBUCKS STORE 14101 EVERETT WA             06/17",-4.33,DEBIT_CARD,445.11,,
DEBIT,06/18/2018,"SHELL Service Station SEATTLE WA     022571  06/17",-52.55,DEBIT_CARD,449.44,,
DEBIT,06/18/2018,"TACO TIME BELLINGHAM-SA BELLINGHAM WA        06/15",-16.37,DEBIT_CARD,501.99,,
DEBIT,06/18/2018,"WANIDA THAI CUISINE BELLINGHAM WA            06/15",-15.44,DEBIT_CARD,518.36,,
DSLIP,06/18/2018,"REMOTE ONLINE DEPOSIT #          1",400.00,CHECK_DEPOSIT,533.80,1,
DEBIT,06/15/2018,"SQ *REDLIGHT BELLINGHAM Bellingham WA        06/15",-20.00,DEBIT_CARD,133.80,,
DEBIT,06/15/2018,"LARRABEE STATE PARK BELLINGHAM WA            06/14",-10.00,DEBIT_CARD,153.80,,
DEBIT,06/15/2018,"PIZZA TIME BELLINGHAM WA                     06/13",-16.84,DEBIT_CARD,163.80,,
DEBIT,06/14/2018,"PAYPAL           INST XFER  ITUNESAPPST     WEB ID: PAYPALSI77",-16.29,ACH_DEBIT,180.64,,
DEBIT,06/14/2018,"FRED-MEYE FRED MEYER 0 BELLINGHAM WA         06/14",-119.34,DEBIT_CARD,196.93,,
DEBIT,06/14/2018,"WWU EMARKETS 360-650-3720 WA                 06/13",-2.00,DEBIT_CARD,316.27,,
CREDIT,06/14/2018,"Online Transfer from SAV ...9660 transaction#: 7230585139",200.00,ACCT_XFER,318.27,,
DEBIT,06/13/2018,"HAGGEN #3449 BELLINGHAM WA           604282  06/13",-1.77,DEBIT_CARD,118.27,,
DEBIT,06/13/2018,"AMAZON MKTPLACE PMTS AMZN.COM/BILL WA        06/12",-14.73,DEBIT_CARD,120.04,,
DEBIT,06/13/2018,"AMAZON MKTPLACE PMTS AMZN.COM/BILL WA        06/13",-14.76,DEBIT_CARD,134.77,,
DEBIT,06/12/2018,"GRUFF BREWING COMPANY L BELLINGHAM WA        06/10",-10.22,DEBIT_CARD,149.53,,
DEBIT,06/12/2018,"GRUFF BREWING COMPANY L BELLINGHAM WA        06/09",-6.13,DEBIT_CARD,159.75,,
DEBIT,06/12/2018,"GRUFF BREWING COMPANY L BELLINGHAM WA        06/09",-6.13,DEBIT_CARD,165.88,,
DEBIT,06/11/2018,"NON-CHASE ATM FEE-WITH",-2.50,FEE_TRANSACTION,172.01,,
DEBIT,06/11/2018,"PAYPAL           INST XFER  XSOLLA          WEB ID: PAYPALSI77",-4.99,ACH_DEBIT,174.51,,
DEBIT,06/11/2018,"NON-CHASE ATM WITHDRAW               482616  06/10188E COLL",-43.00,ATM,179.50,,
DEBIT,06/11/2018,"WENDYS 9659 BELLINGHAM WA                    06/10",-10.40,DEBIT_CARD,222.50,,
DEBIT,06/11/2018,"HAGGEN #3439 BELLINGHAM WA           439342  06/09",-11.48,DEBIT_CARD,232.90,,
DEBIT,06/11/2018,"THE BLACK CAT BELLINGHAM WA                  06/09",-16.74,DEBIT_CARD,244.38,,
DEBIT,06/11/2018,"ARAMARK TOPIOS BELLINGHAM WA                 06/07",-8.13,DEBIT_CARD,261.12,,
DEBIT,06/11/2018,"ARAMARK ZOES BOOKSIDE B BELLINGHAM WA        06/07",-5.27,DEBIT_CARD,269.25,,
CREDIT,06/11/2018,"DEPOSIT  ID NUMBER  73498",200.00,ACCT_XFER,274.52,,
DSLIP,06/11/2018,"REMOTE ONLINE DEPOSIT #          1",48.03,CHECK_DEPOSIT,74.52,1,
DEBIT,06/08/2018,"HP *INSTANT INK 855-785-2777 CA              06/07",-7.61,DEBIT_CARD,26.49,,
DEBIT,06/08/2018,"ARAMARK STARBUCKS BELLINGHAM WA              06/06",-7.98,DEBIT_CARD,34.10,,
DEBIT,06/06/2018,"TRANSFER TO SAV XXXXX9660 06/06",-25.00,ACCT_XFER,42.08,,
DEBIT,06/06/2018,"USCONNECT ADVGV VEND N FERNDALE WA           06/06",-1.25,DEBIT_CARD,67.08,,
DEBIT,06/06/2018,"USCONNECT ADVGV VEND N FERNDALE WA           06/06",-2.00,DEBIT_CARD,68.33,,
DEBIT,06/06/2018,"ARAMARK ATRIUM POD BELLINGHAM WA             06/04",-2.16,DEBIT_CARD,70.33,,
DEBIT,06/04/2018,"PAYPAL           INST XFER  PATREON         WEB ID: PAYPALSI77",-2.00,ACH_DEBIT,72.49,,
DEBIT,06/04/2018,"PAYPAL           INST XFER  PATREON         WEB ID: PAYPALSI77",-4.00,ACH_DEBIT,74.49,,
DEBIT,06/04/2018,"350.ORG 646-801-0759 NY                      06/01",-10.00,DEBIT_CARD,78.49,,
DEBIT,06/04/2018,"PAYPAL           INST XFER  NEKOKIN         WEB ID: PAYPALSI77",-45.42,ACH_DEBIT,88.49,,
DEBIT,06/04/2018,"FACEBK *RAINN donate.fb.com CA               06/03",-20.00,DEBIT_CARD,133.91,,
DEBIT,06/04/2018,"SHELL Service Station EVERETT WA     016888  06/02",-49.25,DEBIT_CARD,153.91,,
DEBIT,06/04/2018,"WWU FOUNDATION EMARKE 360-650-3720 WA        06/01",-25.00,DEBIT_CARD,203.16,,
DEBIT,06/01/2018,"Online Transfer to  SAV ...9660 transaction#: 7108874309",-50.00,ACCT_XFER,228.16,,
DEBIT,05/30/2018,"PUGET SOUND ENER ONLINE PMT                 PPD ID: 9500000000",-44.07,ACH_DEBIT,278.16,,
DEBIT,05/30/2018,"PUGET SOUND ENER PSE BILL   3125180540      CCD ID: 2910374630",-44.07,ACH_DEBIT,322.23,,
DEBIT,05/30/2018,"WWU EMARKETS 360-650-3720 WA                 05/29",-36.00,DEBIT_CARD,366.30,,
DEBIT,05/29/2018,"VENMO            PAYMENT    1103818970      WEB ID: 3264681992",-40.00,ACH_DEBIT,402.30,,
DEBIT,05/29/2018,"Online Transfer to SAV ...9660 transaction#: 7183398661 05/29",-600.00,ACCT_XFER,442.30,,
DEBIT,05/29/2018,"FRED-MEYE FRED MEYER 0 BELLINGHAM WA         05/27",-148.24,DEBIT_CARD,1042.30,,
DEBIT,05/29/2018,"WPY*GoFundMe 855-4693729 CA                  05/27",-1.00,DEBIT_CARD,1190.54,,
DEBIT,05/29/2018,"WPY*John Bain Memorial 855-4693729 CA        05/27",-10.00,DEBIT_CARD,1191.54,,
DEBIT,05/29/2018,"ARAMARK MILLER MARKET P BELLINGHAM WA        05/25",-10.17,DEBIT_CARD,1201.54,,
DEBIT,05/25/2018,"PAYPAL           INST XFER  PARKMOBILE      WEB ID: PAYPALSI77",-4.25,ACH_DEBIT,1211.71,,
DEBIT,05/25/2018,"PAYPAL           INST XFER  PARKMOBILE      WEB ID: PAYPALSI77",-4.25,ACH_DEBIT,1215.96,,
DEBIT,05/25/2018,"PAYPAL           INST XFER  PARKMOBILE      WEB ID: PAYPALSI77",-4.25,ACH_DEBIT,1220.21,,
DEBIT,05/25/2018,"PAYPAL           INST XFER  PARKMOBILE      WEB ID: PAYPALSI77",-4.25,ACH_DEBIT,1224.46,,
DSLIP,05/25/2018,"REMOTE ONLINE DEPOSIT #          1",72.05,CHECK_DEPOSIT,1228.71,1,
DEBIT,05/24/2018,"VENMO            PAYMENT    1097008730      WEB ID: 3264681992",-12.00,ACH_DEBIT,1156.66,,
DEBIT,05/23/2018,"PAYPAL           INST XFER  PARKMOBILE      WEB ID: PAYPALSI77",-4.25,ACH_DEBIT,1168.66,,
DEBIT,05/23/2018,"PAYPAL           INST XFER  PARKMOBILE      WEB ID: PAYPALSI77",-4.25,ACH_DEBIT,1172.91,,
DEBIT,05/23/2018,"MCKAYS TAPHOUSE BELLINGHAM WA                05/21",-5.50,DEBIT_CARD,1177.16,,
DEBIT,05/23/2018,"MCKAYS TAPHOUSE BELLINGHAM WA                05/21",-5.50,DEBIT_CARD,1182.66,,
DEBIT,05/23/2018,"MCKAYS TAPHOUSE BELLINGHAM WA                05/21",-5.75,DEBIT_CARD,1188.16,,
DEBIT,05/23/2018,"ARAMARK TOPIOS BELLINGHAM WA                 05/21",-10.20,DEBIT_CARD,1193.91,,
CREDIT,05/23/2018,"KEY CR. TRANSFER ONLINE-BK  018142526238162 WEB ID: 9000000008",1150.00,ACH_CREDIT,1204.11,,
DEBIT,05/22/2018,"Online Payment 7103434206 To RPM Property Managers 05/22",-1605.00,BILLPAY,54.11,,
CREDIT,05/22/2018,"DEPOSIT  ID NUMBER 508511",200.00,ACCT_XFER,1659.11,,
CREDIT,05/22/2018,"PAYPAL           TRANSFER                   PPD ID: PAYPALSD11",1154.00,ACH_CREDIT,1459.11,,
DEBIT,05/21/2018,"COMCAST          CABLE                      PPD ID: 0000213249",-79.99,ACH_DEBIT,305.11,,
DEBIT,05/21/2018,"HAGGEN #3449 BELLINGHAM WA           589001  05/20",-13.97,DEBIT_CARD,385.10,,
DEBIT,05/21/2018,"CHEVRON 0359406 BELLINGHAM WA                05/20",-54.03,DEBIT_CARD,399.07,,
DEBIT,05/21/2018,"ROOK AND ROGUE BOARD GA BELLINGHAM WA        05/19",-8.70,DEBIT_CARD,453.10,,
DEBIT,05/21/2018,"TACO TIME BELLINGHAM-SA BELLINGHAM WA        05/18",-11.60,DEBIT_CARD,461.80,,
DEBIT,05/21/2018,"ARAMARK STARBUCKS BELLINGHAM WA              05/17",-5.82,DEBIT_CARD,473.40,,
CREDIT,05/21/2018,"VENMO            CASHOUT                    PPD ID: 5264681992",267.50,ACH_CREDIT,479.22,,
DEBIT,05/18/2018,"USCONNECT ADVGV VEND N FERNDALE WA           05/18",-1.25,DEBIT_CARD,211.72,,
DEBIT,05/18/2018,"USCONNECT ADVGV VEND N FERNDALE WA           05/18",-1.25,DEBIT_CARD,212.97,,
DEBIT,05/18/2018,"ASLAN BREWING CO BELLINGHAM WA               05/16",-29.23,DEBIT_CARD,214.22,,
DEBIT,05/17/2018,"PAYPAL           INST XFER  XSOLLA          WEB ID: PAYPALSI77",-4.99,ACH_DEBIT,243.45,,
DEBIT,05/14/2018,"VENMO            PAYMENT    1079244535      WEB ID: 3264681992",-8.50,ACH_DEBIT,248.44,,
DEBIT,05/14/2018,"PAYPAL           INST XFER  ITUNESAPPST     WEB ID: PAYPALSI77",-16.29,ACH_DEBIT,256.94,,
CREDIT,05/11/2018,"KEY CR. TRANSFER ONLINE-BK  018130354157232 WEB ID: 9000000008",100.00,ACH_CREDIT,273.23,,
DEBIT,05/10/2018,"PAYPAL           INST XFER  XSOLLA          WEB ID: PAYPALSI77",-4.99,ACH_DEBIT,173.23,,
DEBIT,05/09/2018,"HAGGEN #3449 BELLINGHAM WA           472988  05/09",-12.31,DEBIT_CARD,178.22,,
DEBIT,05/08/2018,"VENMO            PAYMENT    1066212261      WEB ID: 3264681992",-265.00,ACH_DEBIT,190.53,,
CHECK,05/08/2018,"CHECK 6530  ",-1605.00,CHECK_PAID,455.53,6530,
DEBIT,05/08/2018,"HP *INSTANT INK 855-785-2777 CA              05/07",-6.52,DEBIT_CARD,2060.53,,
DEBIT,05/08/2018,"WWU EMARKETS 360-650-3720 WA                 05/07",-36.00,DEBIT_CARD,2067.05,,
DEBIT,05/08/2018,"WHATCOM CO DISTRT CT 888-8916064 WA          05/06",-167.00,DEBIT_CARD,2103.05,,
DEBIT,05/07/2018,"TRANSFER TO SAV XXXXX9660 05/07",-25.00,ACCT_XFER,2270.05,,
DEBIT,05/07/2018,"FRED-MEYE FRED MEYER 0 BELLINGHAM WA         05/06",-70.60,DEBIT_CARD,2295.05,,
CREDIT,05/07/2018,"Online Transfer from SAV ...9660 transaction#: 7126313042",200.00,ACCT_XFER,2365.65,,
CREDIT,05/07/2018,"QuickPay with Zelle payment from SUSAN K LOFTUS 7126746951",265.00,QUICKPAY_CREDIT,2165.65,,
DEBIT,05/04/2018,"PAYPAL           INST XFER  PARKMOBILE      WEB ID: PAYPALSI77",-2.00,ACH_DEBIT,1900.65,,
DEBIT,05/04/2018,"PAYPAL           INST XFER  PARKMOBILE      WEB ID: PAYPALSI77",-2.25,ACH_DEBIT,1902.65,,
DEBIT,05/04/2018,"PAYPAL           INST XFER  PARKMOBILE      WEB ID: PAYPALSI77",-4.25,ACH_DEBIT,1904.90,,
DEBIT,05/04/2018,"PAYPAL           INST XFER  PARKMOBILE      WEB ID: PAYPALSI77",-4.25,ACH_DEBIT,1909.15,,
DEBIT,05/03/2018,"PAYPAL           INST XFER  PATREON         WEB ID: PAYPALSI77",-4.00,ACH_DEBIT,1913.40,,
DEBIT,05/03/2018,"ANNUAL BRAINSCAPE PR HTTPSWWW.BRAI NY        05/02",-35.88,DEBIT_CARD,1917.40,,
DEBIT,05/02/2018,"PAYPAL           INST XFER  PARKMOBILE      WEB ID: PAYPALSI77",-0.20,ACH_DEBIT,1953.28,,
DEBIT,05/02/2018,"PAYPAL           INST XFER  PATREON         WEB ID: PAYPALSI77",-2.00,ACH_DEBIT,1953.48,,
DEBIT,05/02/2018,"350.ORG 646-801-0759 NY                      05/01",-10.00,DEBIT_CARD,1955.48,,
DEBIT,05/01/2018,"Online Transfer to  SAV ...9660 transaction#: 7021890240",-50.00,ACCT_XFER,1965.48,,
DEBIT,05/01/2018,"WWU EMARKETS 360-650-3720 WA                 04/30",-50.00,DEBIT_CARD,2015.48,,
DEBIT,04/30/2018,"COMCAST          CABLE      1985142         WEB ID: 0000213249",-69.97,ACH_DEBIT,2065.48,,
DEBIT,04/30/2018,"TRADER JOE'S # 151 BELLINGHAM WA     129547  04/29",-58.88,DEBIT_CARD,2135.45,,
DEBIT,04/30/2018,"CHEVRON 0374324 BELLINGHAM WA                04/27",-55.05,DEBIT_CARD,2194.33,,
DEBIT,04/30/2018,"MEDITERRANEAN SPECIALTI BELLINGHAM WA        04/27",-13.98,DEBIT_CARD,2249.38,,
DSLIP,04/30/2018,"REMOTE ONLINE DEPOSIT #          1",72.05,CHECK_DEPOSIT,2263.36,1,
DEBIT,04/27/2018,"NON-CHASE ATM FEE-WITH",-2.50,FEE_TRANSACTION,2191.31,,
DEBIT,04/27/2018,"SQ *REDLIGHT BELLINGHAM Bellingham WA        04/27",-9.00,DEBIT_CARD,2193.81,,
DEBIT,04/27/2018,"NON-CHASE ATM WITHDRAW               261015  04/261100 N. S",-7.00,ATM,2202.81,,
DEBIT,04/27/2018,"WWU AS BOOKSTORE BELLINGHAM WA               04/26",-17.66,DEBIT_CARD,2209.81,,
CREDIT,04/25/2018,"PAYPAL           TRANSFER                   PPD ID: PAYPALSD11",531.97,ACH_CREDIT,2227.47,,
CREDIT,04/25/2018,"PAYPAL           TRANSFER                   PPD ID: PAYPALSD11",542.49,ACH_CREDIT,1695.50,,
CREDIT,04/24/2018,"KEY CR. TRANSFER ONLINE-BK  018113075041014 WEB ID: 9000000008",1150.00,ACH_CREDIT,1153.01,,
DEBIT,04/23/2018,"SUPER DUPER BURGER & T BELLINGHAM WA         04/22",-22.89,DEBIT_CARD,3.01,,
DEBIT,04/23/2018,"SQ *JJ'S IN AND OUT Bellingham WA            04/22",-3.98,DEBIT_CARD,25.90,,
DEBIT,04/20/2018,"NON-CHASE ATM FEE-WITH",-2.50,FEE_TRANSACTION,29.88,,
DEBIT,04/20/2018,"NON-CHASE ATM WITHDRAW               006083  04/191100 N. S",-7.00,ATM,32.38,,
DEBIT,04/16/2018,"FRED-MEYE FRED MEYER 0 BELLINGHAM WA         04/15",-148.07,DEBIT_CARD,39.38,,
DEBIT,04/16/2018,"SHULTZYS SAUSAGE INC SEATTLE WA              04/14",-18.62,DEBIT_CARD,187.45,,
DEBIT,04/16/2018,"WENDYS 9659 BELLINGHAM WA                    04/13",-8.46,DEBIT_CARD,206.07,,
DEBIT,04/16/2018,"SQ *INDIA GRILL Bellingham WA                04/13",-11.41,DEBIT_CARD,214.53,,
CREDIT,04/16/2018,"VENMO            CASHOUT                    PPD ID: 5264681992",20.00,ACH_CREDIT,225.94,,
CREDIT,04/16/2018,"Online Transfer from SAV ...9660 transaction#: 7067990755",120.00,ACCT_XFER,205.94,,
DEBIT,04/12/2018,"SHELL Service Station BELLINGHAM WA  083683  04/12",-53.49,DEBIT_CARD,85.94,,
DEBIT,04/11/2018,"ARAMARK TOPIOS BELLINGHAM WA                 04/09",-10.20,DEBIT_CARD,139.43,,
DSLIP,04/11/2018,"REMOTE ONLINE DEPOSIT #          1",72.05,CHECK_DEPOSIT,149.63,1,
DEBIT,04/09/2018,"VENMO            PAYMENT    1005632290      WEB ID: 3264681992",-9.00,ACH_DEBIT,77.58,,
DEBIT,04/09/2018,"HAGGEN #3449 BELLINGHAM WA           820174  04/09",-36.50,DEBIT_CARD,86.58,,
DEBIT,04/09/2018,"LOVERS MERIDIAN 232 BELLINGHAM WA            04/08",-13.59,DEBIT_CARD,123.08,,
DEBIT,04/09/2018,"MCKAYS TAPHOUSE BELLINGHAM WA                04/08",-4.00,DEBIT_CARD,136.67,,
DEBIT,04/09/2018,"HP *INSTANT INK 855-785-2777 CA              04/07",-1.09,DEBIT_CARD,140.67,,
DEBIT,04/09/2018,"SQ *BROTHA DUDES Bellingham WA               04/06",-9.61,DEBIT_CARD,141.76,,
DEBIT,04/09/2018,"ARAMARK ZOES BOOKSIDE B BELLINGHAM WA        04/06",-2.37,DEBIT_CARD,151.37,,
DEBIT,04/09/2018,"THE ORION BELLINGHAM WA                      04/06",-5.00,DEBIT_CARD,153.74,,
DSLIP,04/09/2018,"REMOTE ONLINE DEPOSIT #          1",24.02,CHECK_DEPOSIT,158.74,1,
DEBIT,04/06/2018,"NON-CHASE ATM FEE-WITH",-2.50,FEE_TRANSACTION,134.72,,
DEBIT,04/06/2018,"TRANSFER TO SAV XXXXX9660 04/06",-25.00,ACCT_XFER,137.22,,
DEBIT,04/06/2018,"NON-CHASE ATM WITHDRAW               287647  04/051100 N. S",-12.00,ATM,162.22,,
DEBIT,04/06/2018,"CITY OF BELLINGHAM WEB 360-7788020 WA        04/05",-15.00,DEBIT_CARD,174.22,,
DEBIT,04/05/2018,"ARAMARK ZOES BOOKSIDE B BELLINGHAM WA        04/03",-4.45,DEBIT_CARD,189.22,,
CHECK,04/04/2018,"CHECK 6529  ",-1605.00,CHECK_PAID,193.67,6529,
DEBIT,04/04/2018,"HAGGEN #3449 BELLINGHAM WA           260716  04/04",-24.95,DEBIT_CARD,1798.67,,
DEBIT,04/04/2018,"TACO TIME BELLINGHAM-SA BELLINGHAM WA        04/02",-10.08,DEBIT_CARD,1823.62,,
DEBIT,04/03/2018,"PAYPAL           INST XFER  PATREON         WEB ID: PAYPALSI77",-2.00,ACH_DEBIT,1833.70,,
DEBIT,04/02/2018,"PAYPAL           INST XFER  PATREON         WEB ID: PAYPALSI77",-2.00,ACH_DEBIT,1835.70,,
DEBIT,04/02/2018,"350.ORG 646-801-0759 NY                      04/01",-10.00,DEBIT_CARD,1837.70,,
DEBIT,04/02/2018,"BOOMERS DRIVE IN BELLINGHAM WA               03/31",-9.29,DEBIT_CARD,1847.70,,
DEBIT,03/30/2018,"COUNTER CHECK",-2.00,FEE_TRANSACTION,1856.99,,
DEBIT,03/30/2018,"Online Transfer to  SAV ...9660 transaction#: 6942798638",-50.00,ACCT_XFER,1858.99,,
DEBIT,03/30/2018,"ROCK BOX SEATTLE WA                          03/29",-17.47,DEBIT_CARD,1908.99,,
