Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
CREDIT,11/21/2017,PAYPAL           TRANSFER                   PPD ID: PAYPALSD11,52.01,ACH_CREDIT,289.4,
DEBIT,11/20/2017,RANCHO BRAVO TACOS SEATTLE WA                11/19,-10,DEBIT_CARD,237.39,
DEBIT,11/20/2017,FOREIGN EXCHANGE RATE ADJUSTMENT FEE         11/18MANCHESTE,-0.38,FEE_TRANSACTION,247.39,
DEBIT,11/20/2017,MANCHESTER PUBLIC HOUSE VANCOUVER BC         11/18 CA DOLLAR  16.14 X 0.7868649 (EXCHG RTE),-12.7,DEBIT_CARD,247.77,
DEBIT,11/20/2017,ARAMARK MILLER MARKET P BELLINGHAM WA        11/16,-6.95,DEBIT_CARD,260.47,
CREDIT,11/20/2017,VENMO            CASHOUT                    PPD ID: 5264681992,10,ACH_CREDIT,267.42,
CREDIT,11/20/2017,VENMO            CASHOUT                    PPD ID: 5264681992,68.5,ACH_CREDIT,257.42,
DEBIT,11/17/2017,ARAMARK MILLER MARKET P BELLINGHAM WA        11/15,-1.63,DEBIT_CARD,188.92,
DEBIT,11/17/2017,ARAMARK TONYS AT MILLER BELLINGHAM WA        11/15,-2.99,DEBIT_CARD,190.55,
DEBIT,11/16/2017,APL* ITUNES.COM/BILL 866-712-7753 CA         11/16,-6.5,DEBIT_CARD,193.54,
DEBIT,11/16/2017,SQ *BROTHA DUDES Bellingham WA               11/15,-11.78,DEBIT_CARD,200.04,
DEBIT,11/16/2017,BISTRO ATELIER DULLES DC                     11/14,-14.83,DEBIT_CARD,211.82,
DEBIT,11/16/2017,METRO 006-DUPONT CIRCLE WASHINGTON DC        11/14,-6.5,DEBIT_CARD,226.65,
DEBIT,11/15/2017,Blackfinn Ameripub - Wa Washington DC        11/13,-31.34,DEBIT_CARD,233.15,
DEBIT,11/15/2017,WASHINGTON DC CC REST 0 WASHINGTON DC        11/13,-9.75,DEBIT_CARD,264.49,
DEBIT,11/15/2017,WASHINGTON DC CC REST 0 WASHINGTON DC        11/12,-17.5,DEBIT_CARD,274.24,
DEBIT,11/14/2017,UBER   *TRIP 5ZJ6G 800-592-8996 CA           11/14,-10.75,DEBIT_CARD,291.74,
DEBIT,11/14/2017,UBER   *5ZRDW 800-592-8996 CA                11/14,-7.63,DEBIT_CARD,302.49,
DEBIT,11/14/2017,UBER   *6KUM7 800-592-8996 CA                11/14,-5,DEBIT_CARD,310.12,
DEBIT,11/14/2017,Kingfisher Washington DC                     11/13,-6.5,DEBIT_CARD,315.12,
DEBIT,11/14/2017,Kingfisher Washington DC                     11/12,-21.8,DEBIT_CARD,321.62,
DEBIT,11/14/2017,RENAISSANCE DC DNTWN 866-435-7627 DC         11/12,-26.1,DEBIT_CARD,343.42,
DEBIT,11/13/2017,NON-CHASE ATM FEE-WITH,-2.5,FEE_TRANSACTION,369.52,
DEBIT,11/13/2017,NON-CHASE ATM WITHDRAW               465616  11/13655 K ST,-23,ATM,372.02,
DEBIT,11/13/2017,UBER   *TRIP QWMMH 800-592-8996 CA           11/13,-10.24,DEBIT_CARD,395.02,
DEBIT,11/13/2017,UBER   *TRIP IVOAL 800-592-8996 CA           11/13,-7.31,DEBIT_CARD,405.26,
DEBIT,11/13/2017,FARE WELL WASHINGTON DC                      11/12,-42,DEBIT_CARD,412.57,
DEBIT,11/13/2017,BABY WALE WASHINGTON DC                      11/11,-15.1,DEBIT_CARD,454.57,
DEBIT,11/13/2017,APL* ITUNES.COM/BILL 866-712-7753 CA         11/11,-24.97,DEBIT_CARD,469.67,
DEBIT,11/13/2017,CHIPOTLE 1579 WASHINGTON DC                  11/11,-9,DEBIT_CARD,494.64,
DEBIT,11/13/2017,SAFEWAY STORE     2737 WASHINGTON DC 739967  11/11,-6.1,DEBIT_CARD,503.64,
DEBIT,11/13/2017,UBER   *TRIP N63KW 800-592-8996 CA           11/11,-7.88,DEBIT_CARD,509.74,
DEBIT,11/13/2017,UBER   *TRIP LWT2M 800-592-8996 CA           11/11,-7.92,DEBIT_CARD,517.62,
DEBIT,11/13/2017,THE CODMOTHER WASHINGTON DC                  11/10,-29.4,DEBIT_CARD,525.54,
DEBIT,11/13/2017,UBER   *ZWO6E 800-592-8996 CA                11/11,-8.16,DEBIT_CARD,554.94,
DEBIT,11/13/2017,UBER   *TRIP 62DCR 800-592-8996 CA           11/11,-7.98,DEBIT_CARD,563.1,
DEBIT,11/13/2017,BURGER KING #2510 MOUNT VERNON WA            11/09,-9.22,DEBIT_CARD,571.08,
DEBIT,11/10/2017,UBER   *TRIP TPCAT 800-592-8996 CA           11/10,-8.38,DEBIT_CARD,580.3,
DEBIT,11/10/2017,DULLES WASHINGTON FLYER CLIFTON VA           11/09,-5,DEBIT_CARD,588.68,
DEBIT,11/10/2017,CHEVRON 0211635 BELLINGHAM WA                11/09,-42.81,DEBIT_CARD,593.68,
DEBIT,11/10/2017,SQ *LAKEWAY CHEVRON & D Bellingham WA        11/09,-1.99,DEBIT_CARD,636.49,
CREDIT,11/10/2017,QuickPay with Zelle payment from SUSAN K LOFTUS 6660309315,100,QUICKPAY_CREDIT,638.48,
DEBIT,11/9/2017,ERM11835  1862 Wiehle RESTON VA              11/09,-10,DEBIT_CARD,538.48,
DEBIT,11/9/2017,USCONNECT ADVGV VEND N FERNDALE WA           11/09,-1.25,DEBIT_CARD,548.48,
DEBIT,11/9/2017,USCONNECT ADVGV VEND N FERNDALE WA           11/09,-1.25,DEBIT_CARD,549.73,
DEBIT,11/8/2017,CASA QUE PASA BELLINGHAM WA                  11/05,-23.07,DEBIT_CARD,550.98,
DEBIT,11/6/2017,TRANSFER TO SAV XXXXX9660 11/06,-25,ACCT_XFER,574.05,
DEBIT,11/6/2017,HAGGEN #3449 BELLINGHAM WA           834965  11/05,-31.15,DEBIT_CARD,599.05,
DEBIT,11/6/2017,ROOK AND ROGUE BOARD GA BELLINGHAM WA        11/05,-17.42,DEBIT_CARD,630.2,
DEBIT,11/6/2017,HAGGEN #3449 BELLINGHAM WA           241276  11/04,-22.39,DEBIT_CARD,647.62,
DEBIT,11/3/2017,WWU EMARKETS 360-650-3720 WA                 11/02,-36,DEBIT_CARD,670.01,
DEBIT,11/2/2017,350.ORG 646-801-0759 NY                      11/01,-10,DEBIT_CARD,706.01,
DSLIP,11/2/2017,REMOTE ONLINE DEPOSIT #          1,106.68,CHECK_DEPOSIT,716.01,1
DEBIT,11/1/2017,Online Transfer to  SAV ...9660 transaction#: 6552858233,-50,ACCT_XFER,609.33,
DEBIT,10/30/2017,HAGGEN #3449 BELLINGHAM WA           944242  10/28,-11.28,DEBIT_CARD,659.33,
DEBIT,10/30/2017,SAFEWAY  FUEL   1472 MOUNT VERNON WA 732981  10/28,-37.91,DEBIT_CARD,670.61,
DEBIT,10/26/2017,WITHDRAWAL 10/26,-535,MISC_DEBIT,708.52,
DEBIT,10/26/2017,FRED MEYE FRED MEYER 6 BELLINGHAM WA         10/26,-60.92,DEBIT_CARD,1243.52,
CREDIT,10/25/2017,"RAISER,LLC       EDI PAYMNT FR4VGEDUDQH6Z3F CCD ID: 1800896455",20.22,ACH_CREDIT,1304.44,
CREDIT,10/24/2017,KEY CR. TRANSFER ONLINE-BK  017296745107443 WEB ID: 9000000008,1150,ACH_CREDIT,1284.22,
DEBIT,10/18/2017,UNITED      016292149 800-932-2732 TX        10/17,-75,DEBIT_CARD,134.22,
CREDIT,10/18/2017,Lyft.com         TRANSFER   Lyft 10-17 Wkly CCD ID: 1800948598,4.28,ACH_CREDIT,209.22,
CREDIT,10/18/2017,"RAISER,LLC       EDI PAYMNT 382666097       CCD ID: 1800896455",11.28,ACH_CREDIT,204.94,
DEBIT,10/17/2017,WWU EMARKETS 360-650-3720 WA                 10/16,-36,DEBIT_CARD,193.66,
CREDIT,10/17/2017,Online Transfer from SAV ...9660 transaction#: 6599771908,75,ACCT_XFER,229.66,
DEBIT,10/16/2017,TARGET T- 30 Bellis Fa Bellingham WA         10/15,-27.16,DEBIT_CARD,154.66,
DEBIT,10/16/2017,ARAMARK ZOES BOOKSIDE B BELLINGHAM WA        10/14,-2.37,DEBIT_CARD,181.82,
DEBIT,10/16/2017,TRADER JOE'S # 151 BELLINGHAM WA     213983  10/14,-69.6,DEBIT_CARD,184.19,
DEBIT,10/16/2017,ARAMARK ZOES BOOKSIDE B BELLINGHAM WA        10/13,-7.7,DEBIT_CARD,253.79,
DEBIT,10/16/2017,ARAMARK TONYS AT MILLER BELLINGHAM WA        10/12,-3.86,DEBIT_CARD,261.49,
DEBIT,10/16/2017,ARAMARK MILLER MARKET P BELLINGHAM WA        10/12,-9.22,DEBIT_CARD,265.35,
DEBIT,10/13/2017,USCONNECT ADVGV VEND N FERNDALE WA           10/13,-1.75,DEBIT_CARD,274.57,
DEBIT,10/13/2017,USCONNECT ADVGV VEND N FERNDALE WA           10/13,-1.25,DEBIT_CARD,276.32,
DEBIT,10/13/2017,ARAMARK TONYS AT MILLER BELLINGHAM WA        10/11,-3.64,DEBIT_CARD,277.57,
DEBIT,10/12/2017,USCONNECT ADVGV VEND N FERNDALE WA           10/12,-1.25,DEBIT_CARD,281.21,
DEBIT,10/12/2017,USCONNECT ADVGV VEND N FERNDALE WA           10/12,-1.25,DEBIT_CARD,282.46,
DEBIT,10/12/2017,SQ *INDIA GRILL Bellingham WA                10/11,-8.15,DEBIT_CARD,283.71,
DEBIT,10/12/2017,ARAMARK MILLER MARKET P BELLINGHAM WA        10/10,-7.38,DEBIT_CARD,291.86,
DEBIT,10/11/2017,HAGGEN #3449 BELLINGHAM WA           933158  10/10,-15.99,DEBIT_CARD,299.24,
DEBIT,10/11/2017,ARAMARK MILLER MARKET P BELLINGHAM WA        10/09,-6.95,DEBIT_CARD,315.23,
DEBIT,10/10/2017,FRED MEYER 1225 W BAKE BELLINGHAM WA 722660  10/09,-37.44,DEBIT_CARD,322.18,
DEBIT,10/10/2017,WENDYS 9659 BELLINGHAM WA                    10/08,-8.24,DEBIT_CARD,359.62,
DEBIT,10/10/2017,RITE AID STORE - 5238 BELLINGHAM WA  569012  10/08,-54.34,DEBIT_CARD,367.86,
DEBIT,10/10/2017,ARAMARK TONYS AT MILLER BELLINGHAM WA        10/06,-6.9,DEBIT_CARD,422.2,
DEBIT,10/6/2017,TRANSFER TO SAV XXXXX9660 10/06,-25,ACCT_XFER,429.1,
DEBIT,10/6/2017,ARAMARK TONYS AT MILLER BELLINGHAM WA        10/04,-3.64,DEBIT_CARD,454.1,
DEBIT,10/5/2017,PIZZA TIME BELLINGHAM WA                     10/03,-12.45,DEBIT_CARD,457.74,
DEBIT,10/4/2017,PAYPAL           INST XFER  PARKMOBILE      WEB ID: PAYPALSI77,-2.25,ACH_DEBIT,470.19,
DEBIT,10/4/2017,PAYPAL           INST XFER  PARKMOBILE      WEB ID: PAYPALSI77,-4.25,ACH_DEBIT,472.44,
DEBIT,10/4/2017,SOC FOR NEUROSCIENCE 202-962-4000 DC         10/03,-280,DEBIT_CARD,476.69,
DEBIT,10/4/2017,ARAMARK STARBUCKS BELLINGHAM WA              10/02,-4.27,DEBIT_CARD,756.69,
CREDIT,10/4/2017,"RAISER,LLC       EDI PAYMNT 370094409       CCD ID: 1800896455",6.55,ACH_CREDIT,760.96,
DEBIT,10/3/2017,PAYPAL           INST XFER  PARKMOBILE      WEB ID: PAYPALSI77,-4.25,ACH_DEBIT,754.41,
DEBIT,10/2/2017,PAYPAL           INST XFER  PATREON         WEB ID: PAYPALSI77,-2,ACH_DEBIT,758.66,
DEBIT,10/2/2017,350.ORG 646-801-0759 NY                      10/01,-10,DEBIT_CARD,760.66,
DEBIT,9/29/2017,NON-CHASE ATM FEE-WITH,-2.5,FEE_TRANSACTION,770.66,
DEBIT,9/29/2017,HAGGEN #3439 BELLINGHAM WA           887155  09/29,-62.6,DEBIT_CARD,773.16,
DEBIT,9/29/2017,Online Transfer to  SAV ...9660 transaction#: 6485382752,-50,ACCT_XFER,835.76,
DEBIT,9/29/2017,NON-CHASE ATM WITHDRAW               033546  09/281100 N. S,-27,ATM,885.76,
DEBIT,9/28/2017,ARAMARK TONYS AT MILLER BELLINGHAM WA        09/26,-4.95,DEBIT_CARD,912.76,
DEBIT,9/27/2017,PHO 99 BELLINGHAM BELLINGHAM WA              09/27,-26.94,DEBIT_CARD,917.71,
DEBIT,9/27/2017,PEL MENI BELLINGHAM WA                       09/25,-9.2,DEBIT_CARD,944.65,
DEBIT,9/27/2017,ARAMARK TONYS AT MILLER BELLINGHAM WA        09/25,-5.82,DEBIT_CARD,953.85,
CREDIT,9/27/2017,"RAISER,LLC       EDI PAYMNT 363771909       CCD ID: 1800896455",6.03,ACH_CREDIT,959.67,
DEBIT,9/25/2017,PAYPAL           INST XFER  NEKOKIN         WEB ID: PAYPALSI77,-535,ACH_DEBIT,953.64,
DEBIT,9/25/2017,SHELL Service Station SEATTLE WA     033281  09/24,-40.64,DEBIT_CARD,1488.64,
DEBIT,9/25/2017,SHELL Service Station SEATTLE WA     233122  09/24,-3.88,DEBIT_CARD,1529.28,
DEBIT,9/25/2017,SQ *SEATTLE FUSION SEATTLE WA                09/23,-6,DEBIT_CARD,1533.16,
DEBIT,9/25/2017,ROXYS DELI SEATTLE WA                        09/23,-11.96,DEBIT_CARD,1539.16,
DEBIT,9/25/2017,TACO TIME BELLINGHAM-SA BELLINGHAM WA        09/23,-10.19,DEBIT_CARD,1551.12,
DEBIT,9/25/2017,THRESHOLD DOCUMENTS BELLINGHAM WA            09/22,-26.09,DEBIT_CARD,1561.31,
DEBIT,9/22/2017,PAYPAL           INST XFER  NEKOKIN         WEB ID: PAYPALSI77,-16.66,ACH_DEBIT,1587.4,
DEBIT,9/22/2017,SUPER DUPER BURGER & T BELLINGHAM WA         09/22,-11.64,DEBIT_CARD,1604.06,
DEBIT,9/21/2017,CITY OF BELLINGHAM PARK BELLINGHAM WA        09/20,-1.75,DEBIT_CARD,1615.7,
DEBIT,9/21/2017,CITY OF BELLINGHAM PARK BELLINGHAM WA        09/20,-0.5,DEBIT_CARD,1617.45,
DEBIT,9/21/2017,GREEN FROG BELLINGHAM WA                     09/20,-8.05,DEBIT_CARD,1617.95,
DEBIT,9/20/2017,PAYPAL           INST XFER  PARKMOBILE      WEB ID: PAYPALSI77,-3.25,ACH_DEBIT,1626,
DEBIT,9/20/2017,USCONNECT ADVGV VEND N FERNDALE WA           09/20,-1.75,DEBIT_CARD,1629.25,
DEBIT,9/20/2017,USCONNECT ADVGV VEND N FERNDALE WA           09/20,-1.25,DEBIT_CARD,1631,
DEBIT,9/20/2017,STARBUCKS STORE 03290 BELLINGHAM WA          09/18,-10.76,DEBIT_CARD,1632.25,
CREDIT,9/20/2017,KEY CR. TRANSFER ONLINE-BK  017262172295647 WEB ID: 9000000008,775,ACH_CREDIT,1643.01,
DEBIT,9/19/2017,BOOMERS DRIVE IN BELLINGHAM WA               09/17,-10.12,DEBIT_CARD,868.01,
CREDIT,9/19/2017,KEY CR. TRANSFER ONLINE-BK  017261156465208 WEB ID: 9000000008,375,ACH_CREDIT,878.13,
CREDIT,9/19/2017,KEY CR. TRANSFER ONLINE-BK  017261156392678 WEB ID: 9000000008,375,ACH_CREDIT,503.13,
DEBIT,9/18/2017,PAYPAL           INST XFER  XSOLLA          WEB ID: PAYPALSI77,-4.99,ACH_DEBIT,128.13,
DEBIT,9/18/2017,PAYPAL           INST XFER  NEKOKIN         WEB ID: PAYPALSI77,-27,ACH_DEBIT,133.12,
DEBIT,9/18/2017,VENMO            PAYMENT    678564632       WEB ID: 3264681992,-270,ACH_DEBIT,160.12,
DEBIT,9/18/2017,FRED MEYE FRED MEYER 0 SHORELINE WA          09/18,-21.99,DEBIT_CARD,430.12,
DEBIT,9/18/2017,SHELL Service Station SEATTLE WA     046742  09/18,-48.18,DEBIT_CARD,452.11,
DEBIT,9/18/2017,ATM WITHDRAWAL                       003537  09/16359 STRAN,-40,ATM,500.29,
CREDIT,9/18/2017,Online Transfer from SAV ...9660 transaction#: 6525428695,270,ACCT_XFER,540.29,
DEBIT,9/15/2017,SHELL Service Station LYNNWOOD WA    004726  09/15,-45.89,DEBIT_CARD,270.29,
DEBIT,9/14/2017,PAYPAL           INST XFER  KIGOSAI         WEB ID: PAYPALSI77,-10,ACH_DEBIT,316.18,
DEBIT,9/14/2017,HAGGEN #3449 BELLINGHAM WA           474956  09/13,-19.17,DEBIT_CARD,326.18,
CREDIT,9/14/2017,KEY CR. TRANSFER ONLINE-BK  017256074383884 WEB ID: 9000000008,296.54,ACH_CREDIT,345.35,
DEBIT,9/13/2017,PAYPAL           INST XFER  NEKOKIN         WEB ID: PAYPALSI77,-16,ACH_DEBIT,48.81,
DEBIT,9/13/2017,FRED MEYE FRED MEYER 0 BELLINGHAM WA         09/13,-70.67,DEBIT_CARD,64.81,
CREDIT,9/13/2017,Online Transfer from SAV ...9660 transaction#: 6514723386,100,ACCT_XFER,135.48,
DEBIT,9/12/2017,PAYPAL           INST XFER  KIGOSAI         WEB ID: PAYPALSI77,-11,ACH_DEBIT,35.48,
CREDIT,9/12/2017,KEY CR. TRANSFER ONLINE-BK  017254026572595 WEB ID: 9000000008,25,ACH_CREDIT,46.48,
DEBIT,9/11/2017,PAYPAL           INST XFER  NEKOKIN         WEB ID: PAYPALSI77,-2.45,ACH_DEBIT,21.48,
DEBIT,9/11/2017,PAYPAL           INST XFER  XSOLLA          WEB ID: PAYPALSI77,-4.99,ACH_DEBIT,23.93,
DEBIT,9/11/2017,PAYPAL           INST XFER  NEKOKIN         WEB ID: PAYPALSI77,-87,ACH_DEBIT,28.92,
DEBIT,9/11/2017,Etsy.com - MimiPrints 718-8557955 NY         09/10,-35.55,DEBIT_CARD,115.92,
DEBIT,9/11/2017,FRED MEYE FRED MEYER 0 BELLINGHAM WA         09/09,-14.57,DEBIT_CARD,151.47,
DEBIT,9/11/2017,FRED MEYE FRED MEYER 0 BELLINGHAM WA         09/09,-10.7,DEBIT_CARD,166.04,
DEBIT,9/11/2017,ATM WITHDRAWAL                       003490  09/091336 CORN,-75,ATM,176.74,
DEBIT,9/11/2017,SHELL Service Station SEATTLE WA     074292  09/09,-40.03,DEBIT_CARD,251.74,
DEBIT,9/11/2017,DICK'S DRIVE-IN WALLING SEATTLE WA           09/09,-7.27,DEBIT_CARD,291.77,
DEBIT,9/11/2017,SQ *VASSILI PROD. LLC Seattle WA             09/09,-17.5,DEBIT_CARD,299.04,
DEBIT,9/11/2017,BOOMERS DRIVE IN BELLINGHAM WA               09/08,-12.96,DEBIT_CARD,316.54,
CREDIT,9/11/2017,VENMO            CASHOUT                    PPD ID: 5264681992,20,ACH_CREDIT,329.5,
CREDIT,9/11/2017,Online Transfer from SAV ...9660 transaction#: 6506928789,75,ACCT_XFER,309.5,
CREDIT,9/11/2017,Online Transfer from SAV ...9660 transaction#: 6508034273,100,ACCT_XFER,234.5,
DEBIT,9/8/2017,FRED MEYE FRED MEYER 0 BELLINGHAM WA         09/08,-19.57,DEBIT_CARD,134.5,
DEBIT,9/8/2017,TACO TIME SAMISH BELLINGHAM WA               09/06,-17.46,DEBIT_CARD,154.07,
DEBIT,9/6/2017,WITHDRAWAL 09/06,-535,MISC_DEBIT,171.53,
DEBIT,9/6/2017,TRANSFER TO SAV XXXXX9660 09/06,-25,ACCT_XFER,706.53,
DEBIT,9/6/2017,EASY STREET RECORDS CAF SEATTLE WA           09/05,-27.12,DEBIT_CARD,731.53,
DEBIT,9/6/2017,BACCO/CHAN SEATTLE WA                        09/05,-42.38,DEBIT_CARD,758.65,
DEBIT,9/5/2017,PAYPAL           INST XFER  PATREON         WEB ID: PAYPALSI77,-2,ACH_DEBIT,801.03,
DEBIT,9/5/2017,350.ORG 646-801-0759 NY                      09/01,-10,DEBIT_CARD,803.03,
DEBIT,9/5/2017,PAYPAL           INST XFER  HAYLEYGG689     WEB ID: PAYPALSI77,-216,ACH_DEBIT,813.03,
